datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2019-01-02,2019-01-02,00:00,SJB - Água Preta,RJ114,MP10,50.41,µg/m3,manual,2019,1,2,00,2019-01-02
2019-01-02,2019-01-02,00:00,SJB - Água Preta,RJ114,MP10,21.95,µg/m3,manual,2019,1,2,00,2019-01-02
2019-01-02,2019-01-02,00:00,SJB - Água Preta,RJ114,PTS,41.6,µg/m3,manual,2019,1,2,00,2019-01-02
2019-01-08,2019-01-08,00:00,SJB - Água Preta,RJ114,MP10,2.85,µg/m3,manual,2019,1,8,00,2019-01-08
2019-01-08,2019-01-08,00:00,SJB - Água Preta,RJ114,MP10,20.01,µg/m3,manual,2019,1,8,00,2019-01-08
2019-01-08,2019-01-08,00:00,SJB - Água Preta,RJ114,PTS,55.51,µg/m3,manual,2019,1,8,00,2019-01-08
2019-01-14,2019-01-14,00:00,SJB - Água Preta,RJ114,MP10,51.21,µg/m3,manual,2019,1,14,00,2019-01-14
2019-01-14,2019-01-14,00:00,SJB - Água Preta,RJ114,MP10,18.07,µg/m3,manual,2019,1,14,00,2019-01-14
2019-01-14,2019-01-14,00:00,SJB - Água Preta,RJ114,PTS,35.85,µg/m3,manual,2019,1,14,00,2019-01-14
2019-01-20,2019-01-20,00:00,SJB - Água Preta,RJ114,MP10,2.89,µg/m3,manual,2019,1,20,00,2019-01-20
2019-01-20,2019-01-20,00:00,SJB - Água Preta,RJ114,MP10,18.1,µg/m3,manual,2019,1,20,00,2019-01-20
2019-01-20,2019-01-20,00:00,SJB - Água Preta,RJ114,PTS,38.36,µg/m3,manual,2019,1,20,00,2019-01-20
2019-01-26,2019-01-26,00:00,SJB - Água Preta,RJ114,MP10,2.83,µg/m3,manual,2019,1,26,00,2019-01-26
2019-01-26,2019-01-26,00:00,SJB - Água Preta,RJ114,MP10,13.99,µg/m3,manual,2019,1,26,00,2019-01-26
2019-02-01,2019-02-01,00:00,SJB - Água Preta,RJ114,MP10,42.88,µg/m3,manual,2019,2,1,00,2019-02-01
2019-02-01,2019-02-01,00:00,SJB - Água Preta,RJ114,PTS,68.05,µg/m3,manual,2019,2,1,00,2019-02-01
2019-02-07,2019-02-07,00:00,SJB - Água Preta,RJ114,MP10,32.9,µg/m3,manual,2019,2,7,00,2019-02-07
2019-02-07,2019-02-07,00:00,SJB - Água Preta,RJ114,PTS,54.47,µg/m3,manual,2019,2,7,00,2019-02-07
2019-02-13,2019-02-13,00:00,SJB - Água Preta,RJ114,MP10,20.88,µg/m3,manual,2019,2,13,00,2019-02-13
2019-02-13,2019-02-13,00:00,SJB - Água Preta,RJ114,PTS,48.44,µg/m3,manual,2019,2,13,00,2019-02-13
2019-02-19,2019-02-19,00:00,SJB - Água Preta,RJ114,MP10,14.18,µg/m3,manual,2019,2,19,00,2019-02-19
2019-02-19,2019-02-19,00:00,SJB - Água Preta,RJ114,PTS,51.56,µg/m3,manual,2019,2,19,00,2019-02-19
2019-03-03,2019-03-03,00:00,SJB - Água Preta,RJ114,MP10,15.2,µg/m3,manual,2019,3,3,00,2019-03-03
2019-03-03,2019-03-03,00:00,SJB - Água Preta,RJ114,MP10,16.47,µg/m3,manual,2019,3,3,00,2019-03-03
2019-03-03,2019-03-03,00:00,SJB - Água Preta,RJ114,PTS,49.85,µg/m3,manual,2019,3,3,00,2019-03-03
2019-03-09,2019-03-09,00:00,SJB - Água Preta,RJ114,MP10,14.71,µg/m3,manual,2019,3,9,00,2019-03-09
2019-03-09,2019-03-09,00:00,SJB - Água Preta,RJ114,MP10,9.2,µg/m3,manual,2019,3,9,00,2019-03-09
2019-03-09,2019-03-09,00:00,SJB - Água Preta,RJ114,PTS,42.98,µg/m3,manual,2019,3,9,00,2019-03-09
2019-03-15,2019-03-15,00:00,SJB - Água Preta,RJ114,MP10,27.56,µg/m3,manual,2019,3,15,00,2019-03-15
2019-03-15,2019-03-15,00:00,SJB - Água Preta,RJ114,MP10,15.19,µg/m3,manual,2019,3,15,00,2019-03-15
2019-03-15,2019-03-15,00:00,SJB - Água Preta,RJ114,PTS,34.86,µg/m3,manual,2019,3,15,00,2019-03-15
2019-03-21,2019-03-21,00:00,SJB - Água Preta,RJ114,MP10,26.67,µg/m3,manual,2019,3,21,00,2019-03-21
2019-03-21,2019-03-21,00:00,SJB - Água Preta,RJ114,MP10,15.1,µg/m3,manual,2019,3,21,00,2019-03-21
2019-03-21,2019-03-21,00:00,SJB - Água Preta,RJ114,PTS,39.35,µg/m3,manual,2019,3,21,00,2019-03-21
2019-03-27,2019-03-27,00:00,SJB - Água Preta,RJ114,MP10,10.53,µg/m3,manual,2019,3,27,00,2019-03-27
2019-03-27,2019-03-27,00:00,SJB - Água Preta,RJ114,MP10,15.29,µg/m3,manual,2019,3,27,00,2019-03-27
2019-03-27,2019-03-27,00:00,SJB - Água Preta,RJ114,PTS,31.07,µg/m3,manual,2019,3,27,00,2019-03-27
2019-04-02,2019-04-02,00:00,SJB - Água Preta,RJ114,MP10,14.6,µg/m3,manual,2019,4,2,00,2019-04-02
2019-04-02,2019-04-02,00:00,SJB - Água Preta,RJ114,MP10,12.2,µg/m3,manual,2019,4,2,00,2019-04-02
2019-04-02,2019-04-02,00:00,SJB - Água Preta,RJ114,PTS,38.4,µg/m3,manual,2019,4,2,00,2019-04-02
2019-04-08,2019-04-08,00:00,SJB - Água Preta,RJ114,MP10,18.2,µg/m3,manual,2019,4,8,00,2019-04-08
2019-04-08,2019-04-08,00:00,SJB - Água Preta,RJ114,MP10,20.43,µg/m3,manual,2019,4,8,00,2019-04-08
2019-04-08,2019-04-08,00:00,SJB - Água Preta,RJ114,PTS,54.59,µg/m3,manual,2019,4,8,00,2019-04-08
2019-04-14,2019-04-14,00:00,SJB - Água Preta,RJ114,MP10,28.03,µg/m3,manual,2019,4,14,00,2019-04-14
2019-04-14,2019-04-14,00:00,SJB - Água Preta,RJ114,MP10,10.36,µg/m3,manual,2019,4,14,00,2019-04-14
2019-04-14,2019-04-14,00:00,SJB - Água Preta,RJ114,PTS,40.42,µg/m3,manual,2019,4,14,00,2019-04-14
2019-04-20,2019-04-20,00:00,SJB - Água Preta,RJ114,MP10,7.24,µg/m3,manual,2019,4,20,00,2019-04-20
2019-04-20,2019-04-20,00:00,SJB - Água Preta,RJ114,MP10,12.79,µg/m3,manual,2019,4,20,00,2019-04-20
2019-04-20,2019-04-20,00:00,SJB - Água Preta,RJ114,PTS,30.27,µg/m3,manual,2019,4,20,00,2019-04-20
2019-04-26,2019-04-26,00:00,SJB - Água Preta,RJ114,MP10,11.54,µg/m3,manual,2019,4,26,00,2019-04-26
2019-04-26,2019-04-26,00:00,SJB - Água Preta,RJ114,MP10,12.43,µg/m3,manual,2019,4,26,00,2019-04-26
2019-04-26,2019-04-26,00:00,SJB - Água Preta,RJ114,PTS,41.23,µg/m3,manual,2019,4,26,00,2019-04-26
2019-05-02,2019-05-02,00:00,SJB - Água Preta,RJ114,MP10,13.49,µg/m3,manual,2019,5,2,00,2019-05-02
2019-05-02,2019-05-02,00:00,SJB - Água Preta,RJ114,MP10,13.59,µg/m3,manual,2019,5,2,00,2019-05-02
2019-05-02,2019-05-02,00:00,SJB - Água Preta,RJ114,PTS,38.07,µg/m3,manual,2019,5,2,00,2019-05-02
2019-05-08,2019-05-08,00:00,SJB - Água Preta,RJ114,MP10,26.65,µg/m3,manual,2019,5,8,00,2019-05-08
2019-05-08,2019-05-08,00:00,SJB - Água Preta,RJ114,MP10,15.8,µg/m3,manual,2019,5,8,00,2019-05-08
2019-05-08,2019-05-08,00:00,SJB - Água Preta,RJ114,PTS,40.63,µg/m3,manual,2019,5,8,00,2019-05-08
2019-05-14,2019-05-14,00:00,SJB - Água Preta,RJ114,MP10,21.9,µg/m3,manual,2019,5,14,00,2019-05-14
2019-05-14,2019-05-14,00:00,SJB - Água Preta,RJ114,MP10,11.79,µg/m3,manual,2019,5,14,00,2019-05-14
2019-05-14,2019-05-14,00:00,SJB - Água Preta,RJ114,PTS,34.87,µg/m3,manual,2019,5,14,00,2019-05-14
2019-05-20,2019-05-20,00:00,SJB - Água Preta,RJ114,MP10,12.89,µg/m3,manual,2019,5,20,00,2019-05-20
2019-05-20,2019-05-20,00:00,SJB - Água Preta,RJ114,MP10,13.63,µg/m3,manual,2019,5,20,00,2019-05-20
2019-05-20,2019-05-20,00:00,SJB - Água Preta,RJ114,PTS,47.88,µg/m3,manual,2019,5,20,00,2019-05-20
2019-05-26,2019-05-26,00:00,SJB - Água Preta,RJ114,MP10,19.22,µg/m3,manual,2019,5,26,00,2019-05-26
2019-05-26,2019-05-26,00:00,SJB - Água Preta,RJ114,MP10,12.11,µg/m3,manual,2019,5,26,00,2019-05-26
2019-05-26,2019-05-26,00:00,SJB - Água Preta,RJ114,PTS,36.54,µg/m3,manual,2019,5,26,00,2019-05-26
2019-06-01,2019-06-01,00:00,SJB - Água Preta,RJ114,MP10,5.65,µg/m3,manual,2019,6,1,00,2019-06-01
2019-06-01,2019-06-01,00:00,SJB - Água Preta,RJ114,MP10,18.26,µg/m3,manual,2019,6,1,00,2019-06-01
2019-06-01,2019-06-01,00:00,SJB - Água Preta,RJ114,PTS,27.11,µg/m3,manual,2019,6,1,00,2019-06-01
