datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2021-01-03,2021-01-03,00:00:00,SJB - Água Preta 2,RJ294,MP10,16.85,µg/m³,Manual,2021,1,3,00,2021-01-03
2021-01-09,2021-01-09,00:00:00,SJB - Água Preta 2,RJ294,MP10,20.14,µg/m³,Manual,2021,1,9,00,2021-01-09
2021-01-15,2021-01-15,00:00:00,SJB - Água Preta 2,RJ294,MP10,8.16,µg/m³,Manual,2021,1,15,00,2021-01-15
2021-01-21,2021-01-21,00:00:00,SJB - Água Preta 2,RJ294,MP10,46.18,µg/m³,Manual,2021,1,21,00,2021-01-21
2021-01-27,2021-01-27,00:00:00,SJB - Água Preta 2,RJ294,MP10,2.51,µg/m³,Manual,2021,1,27,00,2021-01-27
2021-02-02,2021-02-02,00:00:00,SJB - Água Preta 2,RJ294,MP10,13.95,µg/m³,Manual,2021,2,2,00,2021-02-02
2021-02-08,2021-02-08,00:00:00,SJB - Água Preta 2,RJ294,MP10,2.51,µg/m³,Manual,2021,2,8,00,2021-02-08
2021-02-14,2021-02-14,00:00:00,SJB - Água Preta 2,RJ294,MP10,10.44,µg/m³,Manual,2021,2,14,00,2021-02-14
2021-02-20,2021-02-20,00:00:00,SJB - Água Preta 2,RJ294,MP10,2.53,µg/m³,Manual,2021,2,20,00,2021-02-20
2021-02-26,2021-02-26,00:00:00,SJB - Água Preta 2,RJ294,MP10,14.58,µg/m³,Manual,2021,2,26,00,2021-02-26
2021-03-04,2021-03-04,00:00:00,SJB - Água Preta 2,RJ294,MP10,17.11,µg/m³,Manual,2021,3,4,00,2021-03-04
2021-03-10,2021-03-10,00:00:00,SJB - Água Preta 2,RJ294,MP10,15.66,µg/m³,Manual,2021,3,10,00,2021-03-10
2021-03-16,2021-03-16,00:00:00,SJB - Água Preta 2,RJ294,MP10,15.47,µg/m³,Manual,2021,3,16,00,2021-03-16
2021-03-22,2021-03-22,00:00:00,SJB - Água Preta 2,RJ294,MP10,9.25,µg/m³,Manual,2021,3,22,00,2021-03-22
2021-03-28,2021-03-28,00:00:00,SJB - Água Preta 2,RJ294,MP10,2.58,µg/m³,Manual,2021,3,28,00,2021-03-28
2021-04-03,2021-04-03,00:00:00,SJB - Água Preta 2,RJ294,MP10,4.14,µg/m³,Manual,2021,4,3,00,2021-04-03
2021-04-09,2021-04-09,00:00:00,SJB - Água Preta 2,RJ294,MP10,3.39,µg/m³,Manual,2021,4,9,00,2021-04-09
2021-04-15,2021-04-15,00:00:00,SJB - Água Preta 2,RJ294,MP10,18.77,µg/m³,Manual,2021,4,15,00,2021-04-15
2021-04-21,2021-04-21,00:00:00,SJB - Água Preta 2,RJ294,MP10,23.59,µg/m³,Manual,2021,4,21,00,2021-04-21
2021-04-27,2021-04-27,00:00:00,SJB - Água Preta 2,RJ294,MP10,25.17,µg/m³,Manual,2021,4,27,00,2021-04-27
2021-06-02,2021-06-02,00:00:00,SJB - Água Preta 2,RJ294,MP10,18.07,µg/m³,Manual,2021,6,2,00,2021-06-02
