datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2019-01-02,2019-01-02,00:00,SPA - Campo Redondo,RJ252,PTS,57.39,µg/m3,manual,2019,1,2,00,2019-01-02
2019-01-08,2019-01-08,00:00,SPA - Campo Redondo,RJ252,PTS,198.36,µg/m3,manual,2019,1,8,00,2019-01-08
2019-01-14,2019-01-14,00:00,SPA - Campo Redondo,RJ252,PTS,127.78,µg/m3,manual,2019,1,14,00,2019-01-14
2019-02-01,2019-02-01,00:00,SPA - Campo Redondo,RJ252,PTS,188.96,µg/m3,manual,2019,2,1,00,2019-02-01
2019-02-13,2019-02-13,00:00,SPA - Campo Redondo,RJ252,PTS,72.38,µg/m3,manual,2019,2,13,00,2019-02-13
2019-02-19,2019-02-19,00:00,SPA - Campo Redondo,RJ252,PTS,53.99,µg/m3,manual,2019,2,19,00,2019-02-19
2019-02-25,2019-02-25,00:00,SPA - Campo Redondo,RJ252,PTS,189.96,µg/m3,manual,2019,2,25,00,2019-02-25
2019-03-03,2019-03-03,00:00,SPA - Campo Redondo,RJ252,PTS,55.55,µg/m3,manual,2019,3,3,00,2019-03-03
2019-03-09,2019-03-09,00:00,SPA - Campo Redondo,RJ252,PTS,81.93,µg/m3,manual,2019,3,9,00,2019-03-09
2019-03-15,2019-03-15,00:00,SPA - Campo Redondo,RJ252,PTS,83.32,µg/m3,manual,2019,3,15,00,2019-03-15
2019-03-27,2019-03-27,00:00,SPA - Campo Redondo,RJ252,PTS,69.92,µg/m3,manual,2019,3,27,00,2019-03-27
2019-04-02,2019-04-02,00:00,SPA - Campo Redondo,RJ252,PTS,57.29,µg/m3,manual,2019,4,2,00,2019-04-02
2019-04-08,2019-04-08,00:00,SPA - Campo Redondo,RJ252,PTS,86.9,µg/m3,manual,2019,4,8,00,2019-04-08
2019-04-14,2019-04-14,00:00,SPA - Campo Redondo,RJ252,PTS,46.83,µg/m3,manual,2019,4,14,00,2019-04-14
2019-04-20,2019-04-20,00:00,SPA - Campo Redondo,RJ252,PTS,73.26,µg/m3,manual,2019,4,20,00,2019-04-20
2019-04-26,2019-04-26,00:00,SPA - Campo Redondo,RJ252,PTS,85.81,µg/m3,manual,2019,4,26,00,2019-04-26
2019-05-02,2019-05-02,00:00,SPA - Campo Redondo,RJ252,PTS,83.57,µg/m3,manual,2019,5,2,00,2019-05-02
2019-05-08,2019-05-08,00:00,SPA - Campo Redondo,RJ252,PTS,91.4,µg/m3,manual,2019,5,8,00,2019-05-08
2019-05-14,2019-05-14,00:00,SPA - Campo Redondo,RJ252,PTS,49.11,µg/m3,manual,2019,5,14,00,2019-05-14
2019-05-20,2019-05-20,00:00,SPA - Campo Redondo,RJ252,PTS,87.67,µg/m3,manual,2019,5,20,00,2019-05-20
2019-05-26,2019-05-26,00:00,SPA - Campo Redondo,RJ252,PTS,63.52,µg/m3,manual,2019,5,26,00,2019-05-26
2019-06-01,2019-06-01,00:00,SPA - Campo Redondo,RJ252,PTS,71.8,µg/m3,manual,2019,6,1,00,2019-06-01
2019-06-07,2019-06-07,00:00,SPA - Campo Redondo,RJ252,PTS,122.18,µg/m3,manual,2019,6,7,00,2019-06-07
2019-06-13,2019-06-13,00:00,SPA - Campo Redondo,RJ252,PTS,83.81,µg/m3,manual,2019,6,13,00,2019-06-13
2019-06-19,2019-06-19,00:00,SPA - Campo Redondo,RJ252,PTS,134.31,µg/m3,manual,2019,6,19,00,2019-06-19
2019-06-25,2019-06-25,00:00,SPA - Campo Redondo,RJ252,PTS,105.01,µg/m3,manual,2019,6,25,00,2019-06-25
2019-08-06,2019-08-06,00:00,SPA - Campo Redondo,RJ252,PTS,139.1,µg/m3,manual,2019,8,6,00,2019-08-06
2019-08-18,2019-08-18,00:00,SPA - Campo Redondo,RJ252,PTS,87.66,µg/m3,manual,2019,8,18,00,2019-08-18
2019-08-24,2019-08-24,00:00,SPA - Campo Redondo,RJ252,PTS,44.91,µg/m3,manual,2019,8,24,00,2019-08-24
2019-08-30,2019-08-30,00:00,SPA - Campo Redondo,RJ252,PTS,151.87,µg/m3,manual,2019,8,30,00,2019-08-30
2019-09-23,2019-09-23,00:00,SPA - Campo Redondo,RJ252,PTS,89.38,µg/m3,manual,2019,9,23,00,2019-09-23
2019-09-29,2019-09-29,00:00,SPA - Campo Redondo,RJ252,PTS,65.02,µg/m3,manual,2019,9,29,00,2019-09-29
2019-10-05,2019-10-05,00:00,SPA - Campo Redondo,RJ252,PTS,156.25,µg/m3,manual,2019,10,5,00,2019-10-05
2019-10-11,2019-10-11,00:00,SPA - Campo Redondo,RJ252,PTS,76.75,µg/m3,manual,2019,10,11,00,2019-10-11
2019-10-17,2019-10-17,00:00,SPA - Campo Redondo,RJ252,PTS,79.23,µg/m3,manual,2019,10,17,00,2019-10-17
2019-10-23,2019-10-23,00:00,SPA - Campo Redondo,RJ252,PTS,57.6,µg/m3,manual,2019,10,23,00,2019-10-23
2019-11-16,2019-11-16,00:00,SPA - Campo Redondo,RJ252,PTS,76.01,µg/m3,manual,2019,11,16,00,2019-11-16
2019-11-22,2019-11-22,00:00,SPA - Campo Redondo,RJ252,PTS,70.48,µg/m3,manual,2019,11,22,00,2019-11-22
