datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2019-01-01,2019-01-01,00:00,Santa Cruz (CMS) - Móvel,RJ220,CO,0.231666667,ppm,automático,2019,1,1,00,2019-01-01 00:00:00
2019-01-01,2019-01-01,00:00,Santa Cruz (CMS) - Móvel,RJ220,MP10,61.0,µg/m3,automático,2019,1,1,00,2019-01-01 00:00:00
2019-01-01,2019-01-01,00:00,Santa Cruz (CMS) - Móvel,RJ220,MP2.5,93.5,µg/m3,automático,2019,1,1,00,2019-01-01 00:00:00
2019-01-01,2019-01-01,00:00,Santa Cruz (CMS) - Móvel,RJ220,O3,19.61833333,µg/m3,automático,2019,1,1,00,2019-01-01 00:00:00
2019-01-01,2019-01-01,01:00,Santa Cruz (CMS) - Móvel,RJ220,CO,0.255,ppm,automático,2019,1,1,01,2019-01-01 01:00:00
2019-01-01,2019-01-01,01:00,Santa Cruz (CMS) - Móvel,RJ220,MP10,67.0,µg/m3,automático,2019,1,1,01,2019-01-01 01:00:00
2019-01-01,2019-01-01,01:00,Santa Cruz (CMS) - Móvel,RJ220,MP2.5,71.51833333,µg/m3,automático,2019,1,1,01,2019-01-01 01:00:00
2019-01-01,2019-01-01,01:00,Santa Cruz (CMS) - Móvel,RJ220,O3,9.376666667,µg/m3,automático,2019,1,1,01,2019-01-01 01:00:00
2019-01-01,2019-01-01,02:00,Santa Cruz (CMS) - Móvel,RJ220,CO,0.276666667,ppm,automático,2019,1,1,02,2019-01-01 02:00:00
2019-01-01,2019-01-01,02:00,Santa Cruz (CMS) - Móvel,RJ220,MP10,102.0,µg/m3,automático,2019,1,1,02,2019-01-01 02:00:00
2019-01-01,2019-01-01,02:00,Santa Cruz (CMS) - Móvel,RJ220,MP2.5,156.8333333,µg/m3,automático,2019,1,1,02,2019-01-01 02:00:00
2019-01-01,2019-01-01,02:00,Santa Cruz (CMS) - Móvel,RJ220,O3,7.036666667,µg/m3,automático,2019,1,1,02,2019-01-01 02:00:00
2019-01-01,2019-01-01,03:00,Santa Cruz (CMS) - Móvel,RJ220,CO,0.276666667,ppm,automático,2019,1,1,03,2019-01-01 03:00:00
2019-01-01,2019-01-01,03:00,Santa Cruz (CMS) - Móvel,RJ220,MP10,84.0,µg/m3,automático,2019,1,1,03,2019-01-01 03:00:00
2019-01-01,2019-01-01,03:00,Santa Cruz (CMS) - Móvel,RJ220,MP2.5,126.2783333,µg/m3,automático,2019,1,1,03,2019-01-01 03:00:00
2019-01-01,2019-01-01,03:00,Santa Cruz (CMS) - Móvel,RJ220,O3,4.921666667,µg/m3,automático,2019,1,1,03,2019-01-01 03:00:00
2019-01-01,2019-01-01,04:00,Santa Cruz (CMS) - Móvel,RJ220,CO,0.195,ppm,automático,2019,1,1,04,2019-01-01 04:00:00
2019-01-01,2019-01-01,04:00,Santa Cruz (CMS) - Móvel,RJ220,MP10,83.0,µg/m3,automático,2019,1,1,04,2019-01-01 04:00:00
2019-01-01,2019-01-01,04:00,Santa Cruz (CMS) - Móvel,RJ220,MP2.5,140.3216667,µg/m3,automático,2019,1,1,04,2019-01-01 04:00:00
2019-01-01,2019-01-01,04:00,Santa Cruz (CMS) - Móvel,RJ220,O3,7.166666667,µg/m3,automático,2019,1,1,04,2019-01-01 04:00:00
2019-01-01,2019-01-01,05:00,Santa Cruz (CMS) - Móvel,RJ220,CO,0.126666667,ppm,automático,2019,1,1,05,2019-01-01 05:00:00
2019-01-01,2019-01-01,05:00,Santa Cruz (CMS) - Móvel,RJ220,MP2.5,106.5166667,µg/m3,automático,2019,1,1,05,2019-01-01 05:00:00
2019-01-01,2019-01-01,05:00,Santa Cruz (CMS) - Móvel,RJ220,O3,10.17,µg/m3,automático,2019,1,1,05,2019-01-01 05:00:00
2019-01-01,2019-01-01,06:00,Santa Cruz (CMS) - Móvel,RJ220,CO,0.063333333,ppm,automático,2019,1,1,06,2019-01-01 06:00:00
2019-01-01,2019-01-01,06:00,Santa Cruz (CMS) - Móvel,RJ220,MP2.5,78.34833333,µg/m3,automático,2019,1,1,06,2019-01-01 06:00:00
2019-01-01,2019-01-01,06:00,Santa Cruz (CMS) - Móvel,RJ220,O3,23.66333333,µg/m3,automático,2019,1,1,06,2019-01-01 06:00:00
2019-01-01,2019-01-01,07:00,Santa Cruz (CMS) - Móvel,RJ220,CO,0.05,ppm,automático,2019,1,1,07,2019-01-01 07:00:00
2019-01-01,2019-01-01,07:00,Santa Cruz (CMS) - Móvel,RJ220,MP2.5,66.49666667,µg/m3,automático,2019,1,1,07,2019-01-01 07:00:00
2019-01-01,2019-01-01,07:00,Santa Cruz (CMS) - Móvel,RJ220,O3,30.00166667,µg/m3,automático,2019,1,1,07,2019-01-01 07:00:00
2019-01-01,2019-01-01,08:00,Santa Cruz (CMS) - Móvel,RJ220,CO,0.043333333,ppm,automático,2019,1,1,08,2019-01-01 08:00:00
2019-01-01,2019-01-01,08:00,Santa Cruz (CMS) - Móvel,RJ220,MP2.5,60.675,µg/m3,automático,2019,1,1,08,2019-01-01 08:00:00
2019-01-01,2019-01-01,08:00,Santa Cruz (CMS) - Móvel,RJ220,O3,36.55333333,µg/m3,automático,2019,1,1,08,2019-01-01 08:00:00
2019-01-01,2019-01-01,09:00,Santa Cruz (CMS) - Móvel,RJ220,CO,0.04,ppm,automático,2019,1,1,09,2019-01-01 09:00:00
2019-01-01,2019-01-01,09:00,Santa Cruz (CMS) - Móvel,RJ220,MP2.5,59.98166667,µg/m3,automático,2019,1,1,09,2019-01-01 09:00:00
2019-01-01,2019-01-01,09:00,Santa Cruz (CMS) - Móvel,RJ220,O3,41.21666667,µg/m3,automático,2019,1,1,09,2019-01-01 09:00:00
2019-01-01,2019-01-01,10:00,Santa Cruz (CMS) - Móvel,RJ220,CO,0.043333333,ppm,automático,2019,1,1,10,2019-01-01 10:00:00
2019-01-01,2019-01-01,10:00,Santa Cruz (CMS) - Móvel,RJ220,MP2.5,66.14,µg/m3,automático,2019,1,1,10,2019-01-01 10:00:00
2019-01-01,2019-01-01,10:00,Santa Cruz (CMS) - Móvel,RJ220,O3,45.89666667,µg/m3,automático,2019,1,1,10,2019-01-01 10:00:00
2019-01-01,2019-01-01,11:00,Santa Cruz (CMS) - Móvel,RJ220,CO,0.096666667,ppm,automático,2019,1,1,11,2019-01-01 11:00:00
2019-01-01,2019-01-01,11:00,Santa Cruz (CMS) - Móvel,RJ220,MP2.5,50.47,µg/m3,automático,2019,1,1,11,2019-01-01 11:00:00
2019-01-01,2019-01-01,11:00,Santa Cruz (CMS) - Móvel,RJ220,O3,47.66,µg/m3,automático,2019,1,1,11,2019-01-01 11:00:00
2019-01-01,2019-01-01,12:00,Santa Cruz (CMS) - Móvel,RJ220,CO,0.15,ppm,automático,2019,1,1,12,2019-01-01 12:00:00
2019-01-01,2019-01-01,12:00,Santa Cruz (CMS) - Móvel,RJ220,MP2.5,64.54833333,µg/m3,automático,2019,1,1,12,2019-01-01 12:00:00
2019-01-01,2019-01-01,12:00,Santa Cruz (CMS) - Móvel,RJ220,O3,73.18833333,µg/m3,automático,2019,1,1,12,2019-01-01 12:00:00
2019-01-01,2019-01-01,13:00,Santa Cruz (CMS) - Móvel,RJ220,CO,0.123333333,ppm,automático,2019,1,1,13,2019-01-01 13:00:00
2019-01-01,2019-01-01,13:00,Santa Cruz (CMS) - Móvel,RJ220,MP2.5,91.20333333,µg/m3,automático,2019,1,1,13,2019-01-01 13:00:00
2019-01-01,2019-01-01,13:00,Santa Cruz (CMS) - Móvel,RJ220,O3,102.33,µg/m3,automático,2019,1,1,13,2019-01-01 13:00:00
2019-01-01,2019-01-01,14:00,Santa Cruz (CMS) - Móvel,RJ220,CO,0.09,ppm,automático,2019,1,1,14,2019-01-01 14:00:00
2019-01-01,2019-01-01,14:00,Santa Cruz (CMS) - Móvel,RJ220,MP2.5,88.69666667,µg/m3,automático,2019,1,1,14,2019-01-01 14:00:00
2019-01-01,2019-01-01,14:00,Santa Cruz (CMS) - Móvel,RJ220,O3,85.01333333,µg/m3,automático,2019,1,1,14,2019-01-01 14:00:00
2019-01-01,2019-01-01,15:00,Santa Cruz (CMS) - Móvel,RJ220,CO,0.08,ppm,automático,2019,1,1,15,2019-01-01 15:00:00
2019-01-01,2019-01-01,15:00,Santa Cruz (CMS) - Móvel,RJ220,MP2.5,78.92,µg/m3,automático,2019,1,1,15,2019-01-01 15:00:00
2019-01-01,2019-01-01,15:00,Santa Cruz (CMS) - Móvel,RJ220,O3,62.67166667,µg/m3,automático,2019,1,1,15,2019-01-01 15:00:00
2019-01-01,2019-01-01,16:00,Santa Cruz (CMS) - Móvel,RJ220,CO,0.073333333,ppm,automático,2019,1,1,16,2019-01-01 16:00:00
