datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2020-07-13,2020-07-13,00:00,Santa Rosa Teresópolis,RJ270,PTS,159.17,µg/m3,manual,2020,7,13,00,2020-07-13
2020-07-19,2020-07-19,00:00,Santa Rosa Teresópolis,RJ270,PTS,127.09,µg/m3,manual,2020,7,19,00,2020-07-19
2020-07-25,2020-07-25,00:00,Santa Rosa Teresópolis,RJ270,PTS,152.21,µg/m3,manual,2020,7,25,00,2020-07-25
2020-08-06,2020-08-06,00:00,Santa Rosa Teresópolis,RJ270,PTS,132.72,µg/m3,manual,2020,8,6,00,2020-08-06
2020-08-12,2020-08-12,00:00,Santa Rosa Teresópolis,RJ270,PTS,164.58,µg/m3,manual,2020,8,12,00,2020-08-12
2020-08-18,2020-08-18,00:00,Santa Rosa Teresópolis,RJ270,PTS,115.93,µg/m3,manual,2020,8,18,00,2020-08-18
2020-08-30,2020-08-30,00:00,Santa Rosa Teresópolis,RJ270,PTS,47.44,µg/m3,manual,2020,8,30,00,2020-08-30
2020-09-11,2020-09-11,00:00,Santa Rosa Teresópolis,RJ270,PTS,177.05,µg/m3,manual,2020,9,11,00,2020-09-11
2020-09-17,2020-09-17,00:00,Santa Rosa Teresópolis,RJ270,PTS,235.65,µg/m3,manual,2020,9,17,00,2020-09-17
2020-09-23,2020-09-23,00:00,Santa Rosa Teresópolis,RJ270,PTS,20.06,µg/m3,manual,2020,9,23,00,2020-09-23
2020-09-29,2020-09-29,00:00,Santa Rosa Teresópolis,RJ270,PTS,98.79,µg/m3,manual,2020,9,29,00,2020-09-29
2020-10-05,2020-10-05,00:00,Santa Rosa Teresópolis,RJ270,PTS,177.48,µg/m3,manual,2020,10,5,00,2020-10-05
2020-10-11,2020-10-11,00:00,Santa Rosa Teresópolis,RJ270,PTS,55.65,µg/m3,manual,2020,10,11,00,2020-10-11
2020-10-23,2020-10-23,00:00,Santa Rosa Teresópolis,RJ270,PTS,95.08,µg/m3,manual,2020,10,23,00,2020-10-23
2020-10-29,2020-10-29,00:00,Santa Rosa Teresópolis,RJ270,PTS,142.66,µg/m3,manual,2020,10,29,00,2020-10-29
2020-11-04,2020-11-04,00:00,Santa Rosa Teresópolis,RJ270,PTS,24.02,µg/m3,manual,2020,11,4,00,2020-11-04
2020-11-10,2020-11-10,00:00,Santa Rosa Teresópolis,RJ270,PTS,38.72,µg/m3,manual,2020,11,10,00,2020-11-10
2020-11-16,2020-11-16,00:00,Santa Rosa Teresópolis,RJ270,PTS,70.52,µg/m3,manual,2020,11,16,00,2020-11-16
2020-11-22,2020-11-22,00:00,Santa Rosa Teresópolis,RJ270,PTS,34.73,µg/m3,manual,2020,11,22,00,2020-11-22
2020-11-28,2020-11-28,00:00,Santa Rosa Teresópolis,RJ270,PTS,112.02,µg/m3,manual,2020,11,28,00,2020-11-28
2020-12-04,2020-12-04,00:00,Santa Rosa Teresópolis,RJ270,PTS,92.07,µg/m3,manual,2020,12,4,00,2020-12-04
2020-12-10,2020-12-10,00:00,Santa Rosa Teresópolis,RJ270,PTS,40.01,µg/m3,manual,2020,12,10,00,2020-12-10
2020-12-16,2020-12-16,00:00,Santa Rosa Teresópolis,RJ270,PTS,126.12,µg/m3,manual,2020,12,16,00,2020-12-16
2022-03-05,2022-03-05,00:00:00,Santa Rosa Teresópolis,RJ270,PTS,88.95,ug/m3,Manual,2022,3,5,00,2022-03-05
2022-03-11,2022-03-11,00:00:00,Santa Rosa Teresópolis,RJ270,PTS,159.51,ug/m3,Manual,2022,3,11,00,2022-03-11
2022-03-17,2022-03-17,00:00:00,Santa Rosa Teresópolis,RJ270,PTS,135.47,ug/m3,Manual,2022,3,17,00,2022-03-17
2022-03-29,2022-03-29,00:00:00,Santa Rosa Teresópolis,RJ270,PTS,36.07,ug/m3,Manual,2022,3,29,00,2022-03-29
2022-04-10,2022-04-10,00:00:00,Santa Rosa Teresópolis,RJ270,PTS,123.72,ug/m3,Manual,2022,4,10,00,2022-04-10
2022-04-16,2022-04-16,00:00:00,Santa Rosa Teresópolis,RJ270,PTS,111.64,ug/m3,Manual,2022,4,16,00,2022-04-16
