datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2022-01-27,2022-01-27,00:00:00,Sp - EMFOL - Fazenda Caxias,RJ302,PTS,53.49,ug/m3,Manual,2022,1,27,00,2022-01-27
2022-02-03,2022-02-03,00:00:00,Sp - EMFOL - Fazenda Caxias,RJ302,PTS,21.95,ug/m3,Manual,2022,2,3,00,2022-02-03
2022-02-09,2022-02-09,00:00:00,Sp - EMFOL - Fazenda Caxias,RJ302,PTS,26.37,ug/m3,Manual,2022,2,9,00,2022-02-09
2022-03-05,2022-03-05,00:00:00,Sp - EMFOL - Fazenda Caxias,RJ302,PTS,99.84,ug/m3,Manual,2022,3,5,00,2022-03-05
2022-03-11,2022-03-11,00:00:00,Sp - EMFOL - Fazenda Caxias,RJ302,PTS,101.64,ug/m3,Manual,2022,3,11,00,2022-03-11
2022-03-23,2022-03-23,00:00:00,Sp - EMFOL - Fazenda Caxias,RJ302,PTS,59.31,ug/m3,Manual,2022,3,23,00,2022-03-23
2022-03-29,2022-03-29,00:00:00,Sp - EMFOL - Fazenda Caxias,RJ302,PTS,49.61,ug/m3,Manual,2022,3,29,00,2022-03-29
2022-04-22,2022-04-22,00:00:00,Sp - EMFOL - Fazenda Caxias,RJ302,PTS,127.36,ug/m3,Manual,2022,4,22,00,2022-04-22
2022-05-16,2022-05-16,00:00:00,Sp - EMFOL - Fazenda Caxias,RJ302,PTS,58.9,ug/m3,Manual,2022,5,16,00,2022-05-16
2022-05-28,2022-05-28,00:00:00,Sp - EMFOL - Fazenda Caxias,RJ302,PTS,91.8,ug/m3,Manual,2022,5,28,00,2022-05-28
2022-06-03,2022-06-03,00:00:00,Sp - EMFOL - Fazenda Caxias,RJ302,PTS,37.2,ug/m3,Manual,2022,6,3,00,2022-06-03
2022-06-09,2022-06-09,00:00:00,Sp - EMFOL - Fazenda Caxias,RJ302,PTS,49.4,ug/m3,Manual,2022,6,9,00,2022-06-09
2022-06-15,2022-06-15,00:00:00,Sp - EMFOL - Fazenda Caxias,RJ302,PTS,54.76,ug/m3,Manual,2022,6,15,00,2022-06-15
2022-06-21,2022-06-21,00:00:00,Sp - EMFOL - Fazenda Caxias,RJ302,PTS,94.01,ug/m3,Manual,2022,6,21,00,2022-06-21
