datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2019-01-02,2019-01-02,00:00,Sp - Flapa,RJ236,PTS,47.55,µg/m3,manual,2019,1,2,00,2019-01-02
2019-01-08,2019-01-08,00:00,Sp - Flapa,RJ236,PTS,53.45,µg/m3,manual,2019,1,8,00,2019-01-08
2019-01-14,2019-01-14,00:00,Sp - Flapa,RJ236,PTS,83.19,µg/m3,manual,2019,1,14,00,2019-01-14
2019-01-20,2019-01-20,00:00,Sp - Flapa,RJ236,PTS,57.89,µg/m3,manual,2019,1,20,00,2019-01-20
2019-01-26,2019-01-26,00:00,Sp - Flapa,RJ236,PTS,39.34,µg/m3,manual,2019,1,26,00,2019-01-26
2019-02-01,2019-02-01,00:00,Sp - Flapa,RJ236,PTS,115.25,µg/m3,manual,2019,2,1,00,2019-02-01
2019-02-07,2019-02-07,00:00,Sp - Flapa,RJ236,PTS,103.45,µg/m3,manual,2019,2,7,00,2019-02-07
2019-02-19,2019-02-19,00:00,Sp - Flapa,RJ236,PTS,90.64,µg/m3,manual,2019,2,19,00,2019-02-19
2019-02-25,2019-02-25,00:00,Sp - Flapa,RJ236,PTS,111.19,µg/m3,manual,2019,2,25,00,2019-02-25
2019-03-09,2019-03-09,00:00,Sp - Flapa,RJ236,PTS,74.63,µg/m3,manual,2019,3,9,00,2019-03-09
2019-03-21,2019-03-21,00:00,Sp - Flapa,RJ236,PTS,37.62,µg/m3,manual,2019,3,21,00,2019-03-21
2019-03-27,2019-03-27,00:00,Sp - Flapa,RJ236,PTS,36.45,µg/m3,manual,2019,3,27,00,2019-03-27
2019-04-02,2019-04-02,00:00,Sp - Flapa,RJ236,PTS,35.27,µg/m3,manual,2019,4,2,00,2019-04-02
2019-04-08,2019-04-08,00:00,Sp - Flapa,RJ236,PTS,30.84,µg/m3,manual,2019,4,8,00,2019-04-08
2019-04-14,2019-04-14,00:00,Sp - Flapa,RJ236,PTS,42.33,µg/m3,manual,2019,4,14,00,2019-04-14
2019-05-02,2019-05-02,00:00,Sp - Flapa,RJ236,PTS,31.5,µg/m3,manual,2019,5,2,00,2019-05-02
2019-05-08,2019-05-08,00:00,Sp - Flapa,RJ236,PTS,29.24,µg/m3,manual,2019,5,8,00,2019-05-08
2019-05-14,2019-05-14,00:00,Sp - Flapa,RJ236,PTS,29.24,µg/m3,manual,2019,5,14,00,2019-05-14
2019-05-26,2019-05-26,00:00,Sp - Flapa,RJ236,PTS,24.61,µg/m3,manual,2019,5,26,00,2019-05-26
2019-06-01,2019-06-01,00:00,Sp - Flapa,RJ236,PTS,11.51,µg/m3,manual,2019,6,1,00,2019-06-01
2019-06-13,2019-06-13,00:00,Sp - Flapa,RJ236,PTS,23.58,µg/m3,manual,2019,6,13,00,2019-06-13
2019-06-19,2019-06-19,00:00,Sp - Flapa,RJ236,PTS,26.25,µg/m3,manual,2019,6,19,00,2019-06-19
2021-01-03,2021-01-03,00:00:00,Sp - Flapa,RJ236,PTS,23.58,µg/m³,Manual,2021,1,3,00,2021-01-03
2021-01-09,2021-01-09,00:00:00,Sp - Flapa,RJ236,PTS,23.23,µg/m³,Manual,2021,1,9,00,2021-01-09
2021-01-15,2021-01-15,00:00:00,Sp - Flapa,RJ236,PTS,49.42,µg/m³,Manual,2021,1,15,00,2021-01-15
2021-01-21,2021-01-21,00:00:00,Sp - Flapa,RJ236,PTS,40.39,µg/m³,Manual,2021,1,21,00,2021-01-21
2021-01-27,2021-01-27,00:00:00,Sp - Flapa,RJ236,PTS,34.75,µg/m³,Manual,2021,1,27,00,2021-01-27
2021-02-02,2021-02-02,00:00:00,Sp - Flapa,RJ236,PTS,64.42,µg/m³,Manual,2021,2,2,00,2021-02-02
2021-02-08,2021-02-08,00:00:00,Sp - Flapa,RJ236,PTS,33.56,µg/m³,Manual,2021,2,8,00,2021-02-08
2021-02-14,2021-02-14,00:00:00,Sp - Flapa,RJ236,PTS,23.82,µg/m³,Manual,2021,2,14,00,2021-02-14
2021-02-20,2021-02-20,00:00:00,Sp - Flapa,RJ236,PTS,33.93,µg/m³,Manual,2021,2,20,00,2021-02-20
2021-03-10,2021-03-10,00:00:00,Sp - Flapa,RJ236,PTS,55.22,µg/m³,Manual,2021,3,10,00,2021-03-10
2021-03-22,2021-03-22,00:00:00,Sp - Flapa,RJ236,PTS,29.44,µg/m³,Manual,2021,3,22,00,2021-03-22
2021-03-28,2021-03-28,00:00:00,Sp - Flapa,RJ236,PTS,36.4,µg/m³,Manual,2021,3,28,00,2021-03-28
2021-04-03,2021-04-03,00:00:00,Sp - Flapa,RJ236,PTS,30.08,µg/m³,Manual,2021,4,3,00,2021-04-03
2021-04-09,2021-04-09,00:00:00,Sp - Flapa,RJ236,PTS,22.6,µg/m³,Manual,2021,4,9,00,2021-04-09
2021-04-15,2021-04-15,00:00:00,Sp - Flapa,RJ236,PTS,33.03,µg/m³,Manual,2021,4,15,00,2021-04-15
2021-04-21,2021-04-21,00:00:00,Sp - Flapa,RJ236,PTS,34.31,µg/m³,Manual,2021,4,21,00,2021-04-21
2021-04-27,2021-04-27,00:00:00,Sp - Flapa,RJ236,PTS,44.89,µg/m³,Manual,2021,4,27,00,2021-04-27
2021-05-03,2021-05-03,00:00:00,Sp - Flapa,RJ236,PTS,29.79,µg/m³,Manual,2021,5,3,00,2021-05-03
2021-05-09,2021-05-09,00:00:00,Sp - Flapa,RJ236,PTS,30.0,µg/m³,Manual,2021,5,9,00,2021-05-09
2021-05-15,2021-05-15,00:00:00,Sp - Flapa,RJ236,PTS,23.22,µg/m³,Manual,2021,5,15,00,2021-05-15
2021-05-21,2021-05-21,00:00:00,Sp - Flapa,RJ236,PTS,47.92,µg/m³,Manual,2021,5,21,00,2021-05-21
2021-05-27,2021-05-27,00:00:00,Sp - Flapa,RJ236,PTS,82.67,µg/m³,Manual,2021,5,27,00,2021-05-27
2021-06-02,2021-06-02,00:00:00,Sp - Flapa,RJ236,PTS,26.29,µg/m³,Manual,2021,6,2,00,2021-06-02
2021-06-08,2021-06-08,00:00:00,Sp - Flapa,RJ236,PTS,24.98,µg/m³,Manual,2021,6,8,00,2021-06-08
2021-06-14,2021-06-14,00:00:00,Sp - Flapa,RJ236,PTS,27.1,µg/m³,Manual,2021,6,14,00,2021-06-14
2021-06-26,2021-06-26,00:00:00,Sp - Flapa,RJ236,PTS,37.72,µg/m³,Manual,2021,6,26,00,2021-06-26
2021-07-02,2021-07-02,00:00:00,Sp - Flapa,RJ236,PTS,50.29,µg/m³,Manual,2021,7,2,00,2021-07-02
2021-07-08,2021-07-08,00:00:00,Sp - Flapa,RJ236,PTS,45.06,µg/m³,Manual,2021,7,8,00,2021-07-08
2021-07-14,2021-07-14,00:00:00,Sp - Flapa,RJ236,PTS,36.37,µg/m³,Manual,2021,7,14,00,2021-07-14
2021-07-20,2021-07-20,00:00:00,Sp - Flapa,RJ236,PTS,48.11,µg/m³,Manual,2021,7,20,00,2021-07-20
2021-07-26,2021-07-26,00:00:00,Sp - Flapa,RJ236,PTS,59.78,µg/m³,Manual,2021,7,26,00,2021-07-26
2021-08-01,2021-08-01,00:00:00,Sp - Flapa,RJ236,PTS,28.55,µg/m³,Manual,2021,8,1,00,2021-08-01
2021-08-07,2021-08-07,00:00:00,Sp - Flapa,RJ236,PTS,33.5,µg/m³,Manual,2021,8,7,00,2021-08-07
2021-08-13,2021-08-13,00:00:00,Sp - Flapa,RJ236,PTS,28.59,µg/m³,Manual,2021,8,13,00,2021-08-13
2021-08-31,2021-08-31,00:00:00,Sp - Flapa,RJ236,PTS,32.99,µg/m³,Manual,2021,8,31,00,2021-08-31
2021-09-06,2021-09-06,00:00:00,Sp - Flapa,RJ236,PTS,60.27,µg/m³,Manual,2021,9,6,00,2021-09-06
2021-09-18,2021-09-18,00:00:00,Sp - Flapa,RJ236,PTS,45.66,µg/m³,Manual,2021,9,18,00,2021-09-18
2021-09-24,2021-09-24,00:00:00,Sp - Flapa,RJ236,PTS,56.85,µg/m³,Manual,2021,9,24,00,2021-09-24
2021-10-12,2021-10-12,00:00:00,Sp - Flapa,RJ236,PTS,24.96,µg/m³,Manual,2021,10,12,00,2021-10-12
2021-10-18,2021-10-18,00:00:00,Sp - Flapa,RJ236,PTS,18.0,µg/m³,Manual,2021,10,18,00,2021-10-18
2021-11-17,2021-11-17,00:00:00,Sp - Flapa,RJ236,PTS,26.46,µg/m³,Manual,2021,11,17,00,2021-11-17
2021-11-23,2021-11-23,00:00:00,Sp - Flapa,RJ236,PTS,100.66,µg/m³,Manual,2021,11,23,00,2021-11-23
2021-11-29,2021-11-29,00:00:00,Sp - Flapa,RJ236,PTS,38.99,µg/m³,Manual,2021,11,29,00,2021-11-29
2021-12-05,2021-12-05,00:00:00,Sp - Flapa,RJ236,PTS,20.63,µg/m³,Manual,2021,12,5,00,2021-12-05
2021-12-11,2021-12-11,00:00:00,Sp - Flapa,RJ236,PTS,22.2,µg/m³,Manual,2021,12,11,00,2021-12-11
2021-12-23,2021-12-23,00:00:00,Sp - Flapa,RJ236,PTS,20.19,µg/m³,Manual,2021,12,23,00,2021-12-23
2021-12-29,2021-12-29,00:00:00,Sp - Flapa,RJ236,PTS,22.53,µg/m³,Manual,2021,12,29,00,2021-12-29
