datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2019-03-03,2019-03-03,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,43.61,µg/m3,manual,2019,3,3,00,2019-03-03
2019-03-09,2019-03-09,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,112.64,µg/m3,manual,2019,3,9,00,2019-03-09
2019-03-15,2019-03-15,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,55.33,µg/m3,manual,2019,3,15,00,2019-03-15
2019-03-21,2019-03-21,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,26.31,µg/m3,manual,2019,3,21,00,2019-03-21
2019-04-02,2019-04-02,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,57.91,µg/m3,manual,2019,4,2,00,2019-04-02
2019-04-08,2019-04-08,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,42.03,µg/m3,manual,2019,4,8,00,2019-04-08
2019-04-14,2019-04-14,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,39.65,µg/m3,manual,2019,4,14,00,2019-04-14
2019-04-20,2019-04-20,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,68.46,µg/m3,manual,2019,4,20,00,2019-04-20
2019-04-26,2019-04-26,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,68.6,µg/m3,manual,2019,4,26,00,2019-04-26
2019-05-26,2019-05-26,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,80.16,µg/m3,manual,2019,5,26,00,2019-05-26
2019-06-01,2019-06-01,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,97.84,µg/m3,manual,2019,6,1,00,2019-06-01
2019-06-13,2019-06-13,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,142.95,µg/m3,manual,2019,6,13,00,2019-06-13
2019-06-19,2019-06-19,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,140.73,µg/m3,manual,2019,6,19,00,2019-06-19
2019-06-25,2019-06-25,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,160.75,µg/m3,manual,2019,6,25,00,2019-06-25
2019-07-01,2019-07-01,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,123.4,µg/m3,manual,2019,7,1,00,2019-07-01
2019-07-07,2019-07-07,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,53.66,µg/m3,manual,2019,7,7,00,2019-07-07
2019-07-31,2019-07-31,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,105.37,µg/m3,manual,2019,7,31,00,2019-07-31
2019-08-06,2019-08-06,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,74.24,µg/m3,manual,2019,8,6,00,2019-08-06
2019-08-12,2019-08-12,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,178.71,µg/m3,manual,2019,8,12,00,2019-08-12
2019-08-18,2019-08-18,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,90.6,µg/m3,manual,2019,8,18,00,2019-08-18
2019-08-24,2019-08-24,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,39.49,µg/m3,manual,2019,8,24,00,2019-08-24
2019-08-30,2019-08-30,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,130.65,µg/m3,manual,2019,8,30,00,2019-08-30
2019-09-11,2019-09-11,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,6.99,µg/m3,manual,2019,9,11,00,2019-09-11
2019-09-23,2019-09-23,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,5.79,µg/m3,manual,2019,9,23,00,2019-09-23
2019-09-29,2019-09-29,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,55.7,µg/m3,manual,2019,9,29,00,2019-09-29
2019-10-05,2019-10-05,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,105.4,µg/m3,manual,2019,10,5,00,2019-10-05
2019-10-11,2019-10-11,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,69.1,µg/m3,manual,2019,10,11,00,2019-10-11
2019-10-17,2019-10-17,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,102.76,µg/m3,manual,2019,10,17,00,2019-10-17
2019-10-23,2019-10-23,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,73.55,µg/m3,manual,2019,10,23,00,2019-10-23
2019-10-29,2019-10-29,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,45.61,µg/m3,manual,2019,10,29,00,2019-10-29
2019-11-04,2019-11-04,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,126.24,µg/m3,manual,2019,11,4,00,2019-11-04
2019-11-10,2019-11-10,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,36.27,µg/m3,manual,2019,11,10,00,2019-11-10
2019-11-16,2019-11-16,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,48.93,µg/m3,manual,2019,11,16,00,2019-11-16
2019-11-22,2019-11-22,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,57.0,µg/m3,manual,2019,11,22,00,2019-11-22
2019-11-28,2019-11-28,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,71.87,µg/m3,manual,2019,11,28,00,2019-11-28
2019-12-04,2019-12-04,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,78.89,µg/m3,manual,2019,12,4,00,2019-12-04
2019-12-10,2019-12-10,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,82.41,µg/m3,manual,2019,12,10,00,2019-12-10
2019-12-16,2019-12-16,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,88.92,µg/m3,manual,2019,12,16,00,2019-12-16
2019-12-28,2019-12-28,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,78.77,µg/m3,manual,2019,12,28,00,2019-12-28
2020-01-03,2020-01-03,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,31.63,µg/m3,manual,2020,1,3,00,2020-01-03
2020-01-09,2020-01-09,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,57.67,µg/m3,manual,2020,1,9,00,2020-01-09
2020-01-15,2020-01-15,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,99.62,µg/m3,manual,2020,1,15,00,2020-01-15
2020-01-21,2020-01-21,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,69.79,µg/m3,manual,2020,1,21,00,2020-01-21
2020-01-27,2020-01-27,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,89.54,µg/m3,manual,2020,1,27,00,2020-01-27
2020-02-02,2020-02-02,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,40.73,µg/m3,manual,2020,2,2,00,2020-02-02
2020-02-08,2020-02-08,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,65.1,µg/m3,manual,2020,2,8,00,2020-02-08
2020-02-14,2020-02-14,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,50.96,µg/m3,manual,2020,2,14,00,2020-02-14
2020-02-20,2020-02-20,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,73.71,µg/m3,manual,2020,2,20,00,2020-02-20
2020-02-26,2020-02-26,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,46.92,µg/m3,manual,2020,2,26,00,2020-02-26
2020-03-03,2020-03-03,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,32.76,µg/m3,manual,2020,3,3,00,2020-03-03
2020-03-09,2020-03-09,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,52.15,µg/m3,manual,2020,3,9,00,2020-03-09
2020-03-15,2020-03-15,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,65.76,µg/m3,manual,2020,3,15,00,2020-03-15
2020-03-21,2020-03-21,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,29.36,µg/m3,manual,2020,3,21,00,2020-03-21
2020-03-27,2020-03-27,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,58.96,µg/m3,manual,2020,3,27,00,2020-03-27
2020-04-08,2020-04-08,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,52.18,µg/m3,manual,2020,4,8,00,2020-04-08
2020-04-14,2020-04-14,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,51.47,µg/m3,manual,2020,4,14,00,2020-04-14
2020-04-20,2020-04-20,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,65.11,µg/m3,manual,2020,4,20,00,2020-04-20
2020-04-26,2020-04-26,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,78.75,µg/m3,manual,2020,4,26,00,2020-04-26
2020-05-02,2020-05-02,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,78.6,µg/m3,manual,2020,5,2,00,2020-05-02
2020-05-08,2020-05-08,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,38.7,µg/m3,manual,2020,5,8,00,2020-05-08
2020-05-14,2020-05-14,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,62.61,µg/m3,manual,2020,5,14,00,2020-05-14
2020-05-20,2020-05-20,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,72.39,µg/m3,manual,2020,5,20,00,2020-05-20
2020-05-26,2020-05-26,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,59.98,µg/m3,manual,2020,5,26,00,2020-05-26
2020-06-01,2020-06-01,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,105.15,µg/m3,manual,2020,6,1,00,2020-06-01
2020-06-13,2020-06-13,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,65.08,µg/m3,manual,2020,6,13,00,2020-06-13
2020-06-19,2020-06-19,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,51.31,µg/m3,manual,2020,6,19,00,2020-06-19
2020-06-25,2020-06-25,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,52.41,µg/m3,manual,2020,6,25,00,2020-06-25
2020-07-01,2020-07-01,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,117.82,µg/m3,manual,2020,7,1,00,2020-07-01
2020-07-07,2020-07-07,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,80.15,µg/m3,manual,2020,7,7,00,2020-07-07
2020-07-13,2020-07-13,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,101.38,µg/m3,manual,2020,7,13,00,2020-07-13
2020-07-31,2020-07-31,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,43.39,µg/m3,manual,2020,7,31,00,2020-07-31
2020-08-06,2020-08-06,00:00,Sp - Serobrita - Fazenda Caxias,RJ254,PTS,79.1,µg/m3,manual,2020,8,6,00,2020-08-06
