datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2019-08-18,2019-08-18,00:00,Tan - Vila Cortes,RJ268,PTS,27.51,µg/m3,manual,2019,8,18,00,2019-08-18
2019-08-24,2019-08-24,00:00,Tan - Vila Cortes,RJ268,PTS,21.98,µg/m3,manual,2019,8,24,00,2019-08-24
2019-08-30,2019-08-30,00:00,Tan - Vila Cortes,RJ268,PTS,38.31,µg/m3,manual,2019,8,30,00,2019-08-30
2019-09-17,2019-09-17,00:00,Tan - Vila Cortes,RJ268,PTS,38.5,µg/m3,manual,2019,9,17,00,2019-09-17
2019-09-23,2019-09-23,00:00,Tan - Vila Cortes,RJ268,PTS,30.55,µg/m3,manual,2019,9,23,00,2019-09-23
2019-09-29,2019-09-29,00:00,Tan - Vila Cortes,RJ268,PTS,26.14,µg/m3,manual,2019,9,29,00,2019-09-29
2019-10-05,2019-10-05,00:00,Tan - Vila Cortes,RJ268,PTS,33.2,µg/m3,manual,2019,10,5,00,2019-10-05
2019-10-11,2019-10-11,00:00,Tan - Vila Cortes,RJ268,PTS,22.94,µg/m3,manual,2019,10,11,00,2019-10-11
2020-08-06,2020-08-06,00:00,Tan - Vila Cortes,RJ268,PTS,45.52,µg/m3,manual,2020,8,6,00,2020-08-06
2020-08-12,2020-08-12,00:00,Tan - Vila Cortes,RJ268,PTS,85.46,µg/m3,manual,2020,8,12,00,2020-08-12
2020-08-18,2020-08-18,00:00,Tan - Vila Cortes,RJ268,PTS,51.88,µg/m3,manual,2020,8,18,00,2020-08-18
2020-08-24,2020-08-24,00:00,Tan - Vila Cortes,RJ268,PTS,16.95,µg/m3,manual,2020,8,24,00,2020-08-24
2020-08-30,2020-08-30,00:00,Tan - Vila Cortes,RJ268,PTS,32.03,µg/m3,manual,2020,8,30,00,2020-08-30
2020-09-05,2020-09-05,00:00,Tan - Vila Cortes,RJ268,PTS,45.72,µg/m3,manual,2020,9,5,00,2020-09-05
2020-09-11,2020-09-11,00:00,Tan - Vila Cortes,RJ268,PTS,43.24,µg/m3,manual,2020,9,11,00,2020-09-11
2020-09-17,2020-09-17,00:00,Tan - Vila Cortes,RJ268,PTS,47.3,µg/m3,manual,2020,9,17,00,2020-09-17
2020-09-29,2020-09-29,00:00,Tan - Vila Cortes,RJ268,PTS,56.43,µg/m3,manual,2020,9,29,00,2020-09-29
2020-10-05,2020-10-05,00:00,Tan - Vila Cortes,RJ268,PTS,34.03,µg/m3,manual,2020,10,5,00,2020-10-05
2020-10-11,2020-10-11,00:00,Tan - Vila Cortes,RJ268,PTS,27.42,µg/m3,manual,2020,10,11,00,2020-10-11
2020-10-17,2020-10-17,00:00,Tan - Vila Cortes,RJ268,PTS,27.81,µg/m3,manual,2020,10,17,00,2020-10-17
2020-10-23,2020-10-23,00:00,Tan - Vila Cortes,RJ268,PTS,48.16,µg/m3,manual,2020,10,23,00,2020-10-23
2020-10-29,2020-10-29,00:00,Tan - Vila Cortes,RJ268,PTS,44.85,µg/m3,manual,2020,10,29,00,2020-10-29
2020-11-04,2020-11-04,00:00,Tan - Vila Cortes,RJ268,PTS,25.35,µg/m3,manual,2020,11,4,00,2020-11-04
2020-11-10,2020-11-10,00:00,Tan - Vila Cortes,RJ268,PTS,40.73,µg/m3,manual,2020,11,10,00,2020-11-10
2020-11-16,2020-11-16,00:00,Tan - Vila Cortes,RJ268,PTS,41.26,µg/m3,manual,2020,11,16,00,2020-11-16
2020-11-22,2020-11-22,00:00,Tan - Vila Cortes,RJ268,PTS,24.62,µg/m3,manual,2020,11,22,00,2020-11-22
2020-11-28,2020-11-28,00:00,Tan - Vila Cortes,RJ268,PTS,29.89,µg/m3,manual,2020,11,28,00,2020-11-28
2020-12-04,2020-12-04,00:00,Tan - Vila Cortes,RJ268,PTS,35.94,µg/m3,manual,2020,12,4,00,2020-12-04
2020-12-10,2020-12-10,00:00,Tan - Vila Cortes,RJ268,PTS,19.0,µg/m3,manual,2020,12,10,00,2020-12-10
2020-12-16,2020-12-16,00:00,Tan - Vila Cortes,RJ268,PTS,42.83,µg/m3,manual,2020,12,16,00,2020-12-16
2020-12-22,2020-12-22,00:00,Tan - Vila Cortes,RJ268,PTS,47.45,µg/m3,manual,2020,12,22,00,2020-12-22
2020-12-28,2020-12-28,00:00,Tan - Vila Cortes,RJ268,PTS,28.76,µg/m3,manual,2020,12,28,00,2020-12-28
2022-02-09,2022-02-09,00:00:00,Tan - Vila Cortes,RJ268,PTS,20.23,ug/m3,Manual,2022,2,9,00,2022-02-09
