datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2021-11-05,2021-11-05,00:00:00,Unidade Pau Cheiroso,RJ295,PTS,202.27,µg/m³,Manual,2021,11,5,00,2021-11-05
2021-11-11,2021-11-11,00:00:00,Unidade Pau Cheiroso,RJ295,PTS,81.12,µg/m³,Manual,2021,11,11,00,2021-11-11
2021-11-17,2021-11-17,00:00:00,Unidade Pau Cheiroso,RJ295,PTS,73.73,µg/m³,Manual,2021,11,17,00,2021-11-17
2021-11-23,2021-11-23,00:00:00,Unidade Pau Cheiroso,RJ295,PTS,117.65,µg/m³,Manual,2021,11,23,00,2021-11-23
2021-11-29,2021-11-29,00:00:00,Unidade Pau Cheiroso,RJ295,PTS,71.49,µg/m³,Manual,2021,11,29,00,2021-11-29
2021-12-05,2021-12-05,00:00:00,Unidade Pau Cheiroso,RJ295,PTS,45.29,µg/m³,Manual,2021,12,5,00,2021-12-05
2021-12-17,2021-12-17,00:00:00,Unidade Pau Cheiroso,RJ295,PTS,21.16,µg/m³,Manual,2021,12,17,00,2021-12-17
2022-02-03,2022-02-03,00:00:00,Unidade Pau Cheiroso,RJ295,PTS,38.53,ug/m3,Manual,2022,2,3,00,2022-02-03
2022-02-09,2022-02-09,00:00:00,Unidade Pau Cheiroso,RJ295,PTS,50.35,ug/m3,Manual,2022,2,9,00,2022-02-09
2022-02-15,2022-02-15,00:00:00,Unidade Pau Cheiroso,RJ295,PTS,146.41,ug/m3,Manual,2022,2,15,00,2022-02-15
2022-02-21,2022-02-21,00:00:00,Unidade Pau Cheiroso,RJ295,PTS,40.92,ug/m3,Manual,2022,2,21,00,2022-02-21
2022-02-27,2022-02-27,00:00:00,Unidade Pau Cheiroso,RJ295,PTS,56.37,ug/m3,Manual,2022,2,27,00,2022-02-27
2022-03-05,2022-03-05,00:00:00,Unidade Pau Cheiroso,RJ295,PTS,86.12,ug/m3,Manual,2022,3,5,00,2022-03-05
2022-03-11,2022-03-11,00:00:00,Unidade Pau Cheiroso,RJ295,PTS,77.23,ug/m3,Manual,2022,3,11,00,2022-03-11
2022-03-17,2022-03-17,00:00:00,Unidade Pau Cheiroso,RJ295,PTS,68.02,ug/m3,Manual,2022,3,17,00,2022-03-17
2022-03-23,2022-03-23,00:00:00,Unidade Pau Cheiroso,RJ295,PTS,37.49,ug/m3,Manual,2022,3,23,00,2022-03-23
2022-03-29,2022-03-29,00:00:00,Unidade Pau Cheiroso,RJ295,PTS,114.3,ug/m3,Manual,2022,3,29,00,2022-03-29
2022-04-04,2022-04-04,00:00:00,Unidade Pau Cheiroso,RJ295,PTS,43.5,ug/m3,Manual,2022,4,4,00,2022-04-04
2022-04-10,2022-04-10,00:00:00,Unidade Pau Cheiroso,RJ295,PTS,43.43,ug/m3,Manual,2022,4,10,00,2022-04-10
2022-04-16,2022-04-16,00:00:00,Unidade Pau Cheiroso,RJ295,PTS,69.97,ug/m3,Manual,2022,4,16,00,2022-04-16
2022-04-22,2022-04-22,00:00:00,Unidade Pau Cheiroso,RJ295,PTS,191.02,ug/m3,Manual,2022,4,22,00,2022-04-22
2022-04-28,2022-04-28,00:00:00,Unidade Pau Cheiroso,RJ295,PTS,87.24,ug/m3,Manual,2022,4,28,00,2022-04-28
2022-05-04,2022-05-04,00:00:00,Unidade Pau Cheiroso,RJ295,PTS,59.23,ug/m3,Manual,2022,5,4,00,2022-05-04
2022-05-10,2022-05-10,00:00:00,Unidade Pau Cheiroso,RJ295,PTS,44.37,ug/m3,Manual,2022,5,10,00,2022-05-10
2022-05-16,2022-05-16,00:00:00,Unidade Pau Cheiroso,RJ295,PTS,84.87,ug/m3,Manual,2022,5,16,00,2022-05-16
2022-05-22,2022-05-22,00:00:00,Unidade Pau Cheiroso,RJ295,PTS,47.31,ug/m3,Manual,2022,5,22,00,2022-05-22
2022-06-09,2022-06-09,00:00:00,Unidade Pau Cheiroso,RJ295,PTS,127.29,ug/m3,Manual,2022,6,9,00,2022-06-09
2022-06-15,2022-06-15,00:00:00,Unidade Pau Cheiroso,RJ295,PTS,55.19,ug/m3,Manual,2022,6,15,00,2022-06-15
2022-06-21,2022-06-21,00:00:00,Unidade Pau Cheiroso,RJ295,PTS,115.01,ug/m3,Manual,2022,6,21,00,2022-06-21
2022-06-27,2022-06-27,00:00:00,Unidade Pau Cheiroso,RJ295,PTS,131.58,ug/m3,Manual,2022,6,27,00,2022-06-27
2022-07-03,2022-07-03,00:00:00,Unidade Pau Cheiroso,RJ295,PTS,58.63,ug/m3,Manual,2022,7,3,00,2022-07-03
2022-07-09,2022-07-09,00:00:00,Unidade Pau Cheiroso,RJ295,PTS,201.64,ug/m3,Manual,2022,7,9,00,2022-07-09
2022-07-15,2022-07-15,00:00:00,Unidade Pau Cheiroso,RJ295,PTS,111.03,ug/m3,Manual,2022,7,15,00,2022-07-15
2022-07-21,2022-07-21,00:00:00,Unidade Pau Cheiroso,RJ295,PTS,91.28,ug/m3,Manual,2022,7,21,00,2022-07-21
2022-07-27,2022-07-27,00:00:00,Unidade Pau Cheiroso,RJ295,PTS,226.66,ug/m3,Manual,2022,7,27,00,2022-07-27
