datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2022-01-04,2022-01-04,00:00:00,VR - Brasilndia,RJ260,MP10,15.38,ug/m3,Manual,2022,1,4,00,2022-01-04
2022-01-10,2022-01-10,00:00:00,VR - Brasilndia,RJ260,MP10,24.83,ug/m3,Manual,2022,1,10,00,2022-01-10
2022-01-16,2022-01-16,00:00:00,VR - Brasilndia,RJ260,MP10,17.52,ug/m3,Manual,2022,1,16,00,2022-01-16
2022-01-22,2022-01-22,00:00:00,VR - Brasilndia,RJ260,MP10,27.78,ug/m3,Manual,2022,1,22,00,2022-01-22
2022-01-28,2022-01-28,00:00:00,VR - Brasilndia,RJ260,MP10,24.41,ug/m3,Manual,2022,1,28,00,2022-01-28
2022-02-03,2022-02-03,00:00:00,VR - Brasilndia,RJ260,MP10,25.42,ug/m3,Manual,2022,2,3,00,2022-02-03
2022-02-09,2022-02-09,00:00:00,VR - Brasilndia,RJ260,MP10,18.83,ug/m3,Manual,2022,2,9,00,2022-02-09
2022-02-15,2022-02-15,00:00:00,VR - Brasilndia,RJ260,MP10,25.02,ug/m3,Manual,2022,2,15,00,2022-02-15
2022-02-21,2022-02-21,00:00:00,VR - Brasilndia,RJ260,MP10,26.86,ug/m3,Manual,2022,2,21,00,2022-02-21
2022-03-11,2022-03-11,00:00:00,VR - Brasilndia,RJ260,MP10,23.08,ug/m3,Manual,2022,3,11,00,2022-03-11
2022-03-17,2022-03-17,00:00:00,VR - Brasilndia,RJ260,MP10,25.79,ug/m3,Manual,2022,3,17,00,2022-03-17
2022-03-23,2022-03-23,00:00:00,VR - Brasilndia,RJ260,MP10,23.48,ug/m3,Manual,2022,3,23,00,2022-03-23
2022-03-29,2022-03-29,00:00:00,VR - Brasilndia,RJ260,MP10,22.46,ug/m3,Manual,2022,3,29,00,2022-03-29
2022-04-04,2022-04-04,00:00:00,VR - Brasilndia,RJ260,MP10,21.94,ug/m3,Manual,2022,4,4,00,2022-04-04
2022-04-10,2022-04-10,00:00:00,VR - Brasilndia,RJ260,MP10,20.67,ug/m3,Manual,2022,4,10,00,2022-04-10
2022-04-16,2022-04-16,00:00:00,VR - Brasilndia,RJ260,MP10,17.28,ug/m3,Manual,2022,4,16,00,2022-04-16
2022-04-22,2022-04-22,00:00:00,VR - Brasilndia,RJ260,MP10,38.47,ug/m3,Manual,2022,4,22,00,2022-04-22
2022-04-28,2022-04-28,00:00:00,VR - Brasilndia,RJ260,MP10,28.72,ug/m3,Manual,2022,4,28,00,2022-04-28
2022-05-04,2022-05-04,00:00:00,VR - Brasilndia,RJ260,MP10,43.95,ug/m3,Manual,2022,5,4,00,2022-05-04
2022-05-10,2022-05-10,00:00:00,VR - Brasilndia,RJ260,MP10,34.3,ug/m3,Manual,2022,5,10,00,2022-05-10
2022-05-16,2022-05-16,00:00:00,VR - Brasilndia,RJ260,MP10,30.07,ug/m3,Manual,2022,5,16,00,2022-05-16
2022-05-22,2022-05-22,00:00:00,VR - Brasilndia,RJ260,MP10,26.2,ug/m3,Manual,2022,5,22,00,2022-05-22
2022-05-28,2022-05-28,00:00:00,VR - Brasilndia,RJ260,MP10,30.17,ug/m3,Manual,2022,5,28,00,2022-05-28
2022-06-03,2022-06-03,00:00:00,VR - Brasilndia,RJ260,MP10,24.89,ug/m3,Manual,2022,6,3,00,2022-06-03
2022-06-09,2022-06-09,00:00:00,VR - Brasilndia,RJ260,MP10,31.63,ug/m3,Manual,2022,6,9,00,2022-06-09
2022-06-15,2022-06-15,00:00:00,VR - Brasilndia,RJ260,MP10,29.49,ug/m3,Manual,2022,6,15,00,2022-06-15
2022-06-21,2022-06-21,00:00:00,VR - Brasilndia,RJ260,MP10,34.41,ug/m3,Manual,2022,6,21,00,2022-06-21
2022-06-27,2022-06-27,00:00:00,VR - Brasilndia,RJ260,MP10,20.22,ug/m3,Manual,2022,6,27,00,2022-06-27
2022-07-03,2022-07-03,00:00:00,VR - Brasilndia,RJ260,MP10,33.68,ug/m3,Manual,2022,7,3,00,2022-07-03
2022-07-09,2022-07-09,00:00:00,VR - Brasilndia,RJ260,MP10,39.67,ug/m3,Manual,2022,7,9,00,2022-07-09
2022-07-15,2022-07-15,00:00:00,VR - Brasilndia,RJ260,MP10,46.46,ug/m3,Manual,2022,7,15,00,2022-07-15
2022-07-21,2022-07-21,00:00:00,VR - Brasilndia,RJ260,MP10,38.61,ug/m3,Manual,2022,7,21,00,2022-07-21
2022-07-27,2022-07-27,00:00:00,VR - Brasilndia,RJ260,MP10,57.85,ug/m3,Manual,2022,7,27,00,2022-07-27
2022-08-02,2022-08-02,00:00:00,VR - Brasilndia,RJ260,MP10,57.85,ug/m3,Manual,2022,8,2,00,2022-08-02
2022-08-08,2022-08-08,00:00:00,VR - Brasilndia,RJ260,MP10,44.71,ug/m3,Manual,2022,8,8,00,2022-08-08
2022-08-14,2022-08-14,00:00:00,VR - Brasilndia,RJ260,MP10,29.06,ug/m3,Manual,2022,8,14,00,2022-08-14
2022-08-20,2022-08-20,00:00:00,VR - Brasilndia,RJ260,MP10,6.68,ug/m3,Manual,2022,8,20,00,2022-08-20
2022-08-26,2022-08-26,00:00:00,VR - Brasilndia,RJ260,MP10,57.84,ug/m3,Manual,2022,8,26,00,2022-08-26
2022-11-06,2022-11-06,00:00:00,VR - Brasilndia,RJ260,MP10,9.7,ug/m3,Manual,2022,11,6,00,2022-11-06
