datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2019-03-15,2019-03-15,00:00,VR - Brasilândia,RJ260,MP10,34.9,µg/m3,manual,2019,3,15,00,2019-03-15
2019-03-21,2019-03-21,00:00,VR - Brasilândia,RJ260,MP10,18.5,µg/m3,manual,2019,3,21,00,2019-03-21
2019-03-27,2019-03-27,00:00,VR - Brasilândia,RJ260,MP10,30.8,µg/m3,manual,2019,3,27,00,2019-03-27
2019-04-02,2019-04-02,00:00,VR - Brasilândia,RJ260,MP10,25.0,µg/m3,manual,2019,4,2,00,2019-04-02
2019-04-08,2019-04-08,00:00,VR - Brasilândia,RJ260,MP10,20.4,µg/m3,manual,2019,4,8,00,2019-04-08
2019-04-14,2019-04-14,00:00,VR - Brasilândia,RJ260,MP10,20.2,µg/m3,manual,2019,4,14,00,2019-04-14
2019-04-20,2019-04-20,00:00,VR - Brasilândia,RJ260,MP10,28.8,µg/m3,manual,2019,4,20,00,2019-04-20
2019-04-26,2019-04-26,00:00,VR - Brasilândia,RJ260,MP10,32.5,µg/m3,manual,2019,4,26,00,2019-04-26
2019-05-02,2019-05-02,00:00,VR - Brasilândia,RJ260,MP10,36.2,µg/m3,manual,2019,5,2,00,2019-05-02
2019-05-08,2019-05-08,00:00,VR - Brasilândia,RJ260,MP10,19.2,µg/m3,manual,2019,5,8,00,2019-05-08
2019-05-14,2019-05-14,00:00,VR - Brasilândia,RJ260,MP10,25.5,µg/m3,manual,2019,5,14,00,2019-05-14
2019-05-20,2019-05-20,00:00,VR - Brasilândia,RJ260,MP10,20.2,µg/m3,manual,2019,5,20,00,2019-05-20
2019-05-26,2019-05-26,00:00,VR - Brasilândia,RJ260,MP10,22.1,µg/m3,manual,2019,5,26,00,2019-05-26
2019-06-01,2019-06-01,00:00,VR - Brasilândia,RJ260,MP10,39.4,µg/m3,manual,2019,6,1,00,2019-06-01
2019-06-07,2019-06-07,00:00,VR - Brasilândia,RJ260,MP10,25.7,µg/m3,manual,2019,6,7,00,2019-06-07
2019-06-13,2019-06-13,00:00,VR - Brasilândia,RJ260,MP10,39.8,µg/m3,manual,2019,6,13,00,2019-06-13
2019-06-19,2019-06-19,00:00,VR - Brasilândia,RJ260,MP10,49.2,µg/m3,manual,2019,6,19,00,2019-06-19
2019-06-25,2019-06-25,00:00,VR - Brasilândia,RJ260,MP10,52.8,µg/m3,manual,2019,6,25,00,2019-06-25
2019-07-01,2019-07-01,00:00,VR - Brasilândia,RJ260,MP10,44.0,µg/m3,manual,2019,7,1,00,2019-07-01
2019-07-07,2019-07-07,00:00,VR - Brasilândia,RJ260,MP10,19.2,µg/m3,manual,2019,7,7,00,2019-07-07
2019-07-13,2019-07-13,00:00,VR - Brasilândia,RJ260,MP10,56.8,µg/m3,manual,2019,7,13,00,2019-07-13
2019-07-19,2019-07-19,00:00,VR - Brasilândia,RJ260,MP10,30.2,µg/m3,manual,2019,7,19,00,2019-07-19
2019-07-25,2019-07-25,00:00,VR - Brasilândia,RJ260,MP10,45.6,µg/m3,manual,2019,7,25,00,2019-07-25
2019-07-31,2019-07-31,00:00,VR - Brasilândia,RJ260,MP10,44.8,µg/m3,manual,2019,7,31,00,2019-07-31
2019-08-06,2019-08-06,00:00,VR - Brasilândia,RJ260,MP10,20.0,µg/m3,manual,2019,8,6,00,2019-08-06
2019-08-12,2019-08-12,00:00,VR - Brasilândia,RJ260,MP10,42.5,µg/m3,manual,2019,8,12,00,2019-08-12
