datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2015-04-23,2015-04-23,12:00,VR - Jardim Paraíba,RJ60,PTS,65.0,ug/m3,manual,2015,4,23,12,2015-04-23 12:00:00
2015-04-29,2015-04-29,12:00,VR - Jardim Paraíba,RJ60,PTS,40.0,ug/m3,manual,2015,4,29,12,2015-04-29 12:00:00
2015-05-05,2015-05-05,12:00,VR - Jardim Paraíba,RJ60,PTS,34.0,ug/m3,manual,2015,5,5,12,2015-05-05 12:00:00
2015-05-11,2015-05-11,12:00,VR - Jardim Paraíba,RJ60,PTS,109.0,ug/m3,manual,2015,5,11,12,2015-05-11 12:00:00
2015-05-23,2015-05-23,12:00,VR - Jardim Paraíba,RJ60,PTS,87.0,ug/m3,manual,2015,5,23,12,2015-05-23 12:00:00
2015-05-29,2015-05-29,12:00,VR - Jardim Paraíba,RJ60,PTS,133.0,ug/m3,manual,2015,5,29,12,2015-05-29 12:00:00
2015-06-04,2015-06-04,12:00,VR - Jardim Paraíba,RJ60,PTS,62.0,ug/m3,manual,2015,6,4,12,2015-06-04 12:00:00
2015-06-10,2015-06-10,12:00,VR - Jardim Paraíba,RJ60,PTS,341.0,ug/m3,manual,2015,6,10,12,2015-06-10 12:00:00
2015-06-16,2015-06-16,12:00,VR - Jardim Paraíba,RJ60,PTS,72.0,ug/m3,manual,2015,6,16,12,2015-06-16 12:00:00
2018-07-18,2018-07-18,12:00:00,VR - Jardim Paraíba,RJ60,PTS,49.0,ug/m3,manual,2018,7,18,12,2018-07-18 12:00:00
2019-01-02,2019-01-02,12:00,VR - Jardim Paraíba,RJ60,PTS,68.0,µg/m3,manual,2019,1,2,12,2019-01-02 12:00:00
2019-04-14,2019-04-14,12:00,VR - Jardim Paraíba,RJ60,PTS,32.0,µg/m3,manual,2019,4,14,12,2019-04-14 12:00:00
2019-06-01,2019-06-01,12:00,VR - Jardim Paraíba,RJ60,PTS,98.0,µg/m3,manual,2019,6,1,12,2019-06-01 12:00:00
2019-06-13,2019-06-13,12:00,VR - Jardim Paraíba,RJ60,PTS,133.0,µg/m3,manual,2019,6,13,12,2019-06-13 12:00:00
2019-09-17,2019-09-17,12:00,VR - Jardim Paraíba,RJ60,PTS,144.0,µg/m3,manual,2019,9,17,12,2019-09-17 12:00:00
