datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2018-01-01,2018-01-01,00:00:00,VR - Sidervile,RJ67,MP10,38.46,ug/m3,manual,2018,1,1,00,2018-01-01
2018-01-07,2018-01-07,00:00:00,VR - Sidervile,RJ67,MP10,22.3,ug/m3,manual,2018,1,7,00,2018-01-07
2018-01-13,2018-01-13,00:00:00,VR - Sidervile,RJ67,MP10,30.42,ug/m3,manual,2018,1,13,00,2018-01-13
2018-01-19,2018-01-19,00:00:00,VR - Sidervile,RJ67,MP10,40.41,ug/m3,manual,2018,1,19,00,2018-01-19
2018-01-25,2018-01-25,00:00:00,VR - Sidervile,RJ67,MP10,43.29,ug/m3,manual,2018,1,25,00,2018-01-25
2018-01-31,2018-01-31,00:00:00,VR - Sidervile,RJ67,MP10,20.66,ug/m3,manual,2018,1,31,00,2018-01-31
2018-02-06,2018-02-06,00:00:00,VR - Sidervile,RJ67,MP10,15.63,ug/m3,manual,2018,2,6,00,2018-02-06
2018-02-12,2018-02-12,00:00:00,VR - Sidervile,RJ67,MP10,28.56,ug/m3,manual,2018,2,12,00,2018-02-12
2018-02-18,2018-02-18,00:00:00,VR - Sidervile,RJ67,MP10,27.69,ug/m3,manual,2018,2,18,00,2018-02-18
2018-02-24,2018-02-24,00:00:00,VR - Sidervile,RJ67,MP10,19.55,ug/m3,manual,2018,2,24,00,2018-02-24
2018-03-02,2018-03-02,00:00:00,VR - Sidervile,RJ67,MP10,37.03,ug/m3,manual,2018,3,2,00,2018-03-02
2018-03-08,2018-03-08,00:00:00,VR - Sidervile,RJ67,MP10,18.65,ug/m3,manual,2018,3,8,00,2018-03-08
2018-03-14,2018-03-14,00:00:00,VR - Sidervile,RJ67,MP10,42.93,ug/m3,manual,2018,3,14,00,2018-03-14
2018-03-20,2018-03-20,00:00:00,VR - Sidervile,RJ67,MP10,48.85,ug/m3,manual,2018,3,20,00,2018-03-20
2018-03-26,2018-03-26,00:00:00,VR - Sidervile,RJ67,MP10,35.04,ug/m3,manual,2018,3,26,00,2018-03-26
2018-04-01,2018-04-01,00:00:00,VR - Sidervile,RJ67,MP10,32.46,ug/m3,manual,2018,4,1,00,2018-04-01
2018-04-07,2018-04-07,00:00:00,VR - Sidervile,RJ67,MP10,30.03,ug/m3,manual,2018,4,7,00,2018-04-07
2018-04-13,2018-04-13,00:00:00,VR - Sidervile,RJ67,MP10,34.7,ug/m3,manual,2018,4,13,00,2018-04-13
2018-04-19,2018-04-19,00:00:00,VR - Sidervile,RJ67,MP10,36.74,ug/m3,manual,2018,4,19,00,2018-04-19
2018-04-25,2018-04-25,00:00:00,VR - Sidervile,RJ67,MP10,43.29,ug/m3,manual,2018,4,25,00,2018-04-25
2018-05-01,2018-05-01,00:00:00,VR - Sidervile,RJ67,MP10,40.39,ug/m3,manual,2018,5,1,00,2018-05-01
2018-05-07,2018-05-07,00:00:00,VR - Sidervile,RJ67,MP10,28.86,ug/m3,manual,2018,5,7,00,2018-05-07
2018-05-13,2018-05-13,00:00:00,VR - Sidervile,RJ67,MP10,18.88,ug/m3,manual,2018,5,13,00,2018-05-13
2018-05-19,2018-05-19,00:00:00,VR - Sidervile,RJ67,MP10,40.97,ug/m3,manual,2018,5,19,00,2018-05-19
2018-05-25,2018-05-25,00:00:00,VR - Sidervile,RJ67,MP10,34.08,ug/m3,manual,2018,5,25,00,2018-05-25
2018-05-31,2018-05-31,00:00:00,VR - Sidervile,RJ67,MP10,45.24,ug/m3,manual,2018,5,31,00,2018-05-31
2018-06-06,2018-06-06,00:00:00,VR - Sidervile,RJ67,MP10,39.61,ug/m3,manual,2018,6,6,00,2018-06-06
2018-06-12,2018-06-12,00:00:00,VR - Sidervile,RJ67,MP10,17.16,ug/m3,manual,2018,6,12,00,2018-06-12
2018-06-18,2018-06-18,00:00:00,VR - Sidervile,RJ67,MP10,21.3,ug/m3,manual,2018,6,18,00,2018-06-18
2018-06-24,2018-06-24,00:00:00,VR - Sidervile,RJ67,MP10,37.13,ug/m3,manual,2018,6,24,00,2018-06-24
2018-06-30,2018-06-30,00:00:00,VR - Sidervile,RJ67,MP10,45.32,ug/m3,manual,2018,6,30,00,2018-06-30
2018-07-12,2018-07-12,00:00:00,VR - Sidervile,RJ67,MP10,31.34,ug/m3,manual,2018,7,12,00,2018-07-12
2018-07-18,2018-07-18,00:00:00,VR - Sidervile,RJ67,MP10,47.73,ug/m3,manual,2018,7,18,00,2018-07-18
2018-07-24,2018-07-24,00:00:00,VR - Sidervile,RJ67,MP10,63.74,ug/m3,manual,2018,7,24,00,2018-07-24
2018-07-30,2018-07-30,00:00:00,VR - Sidervile,RJ67,MP10,71.98,ug/m3,manual,2018,7,30,00,2018-07-30
2018-08-05,2018-08-05,00:00:00,VR - Sidervile,RJ67,MP10,43.78,ug/m3,manual,2018,8,5,00,2018-08-05
2018-08-11,2018-08-11,00:00:00,VR - Sidervile,RJ67,MP10,25.62,ug/m3,manual,2018,8,11,00,2018-08-11
2018-08-17,2018-08-17,00:00:00,VR - Sidervile,RJ67,MP10,31.6,ug/m3,manual,2018,8,17,00,2018-08-17
2018-08-23,2018-08-23,00:00:00,VR - Sidervile,RJ67,MP10,57.97,ug/m3,manual,2018,8,23,00,2018-08-23
2018-08-29,2018-08-29,00:00:00,VR - Sidervile,RJ67,MP10,35.77,ug/m3,manual,2018,8,29,00,2018-08-29
2018-09-04,2018-09-04,00:00:00,VR - Sidervile,RJ67,MP10,33.77,ug/m3,manual,2018,9,4,00,2018-09-04
2018-09-10,2018-09-10,00:00:00,VR - Sidervile,RJ67,MP10,34.24,ug/m3,manual,2018,9,10,00,2018-09-10
2018-09-16,2018-09-16,00:00:00,VR - Sidervile,RJ67,MP10,19.08,ug/m3,manual,2018,9,16,00,2018-09-16
2018-09-22,2018-09-22,00:00:00,VR - Sidervile,RJ67,MP10,32.9,ug/m3,manual,2018,9,22,00,2018-09-22
2018-09-28,2018-09-28,00:00:00,VR - Sidervile,RJ67,MP10,59.72,ug/m3,manual,2018,9,28,00,2018-09-28
2018-10-04,2018-10-04,00:00:00,VR - Sidervile,RJ67,MP10,37.94,ug/m3,manual,2018,10,4,00,2018-10-04
2018-10-10,2018-10-10,00:00:00,VR - Sidervile,RJ67,MP10,40.21,ug/m3,manual,2018,10,10,00,2018-10-10
2018-10-16,2018-10-16,00:00:00,VR - Sidervile,RJ67,MP10,22.31,ug/m3,manual,2018,10,16,00,2018-10-16
2018-10-22,2018-10-22,00:00:00,VR - Sidervile,RJ67,MP10,33.16,ug/m3,manual,2018,10,22,00,2018-10-22
2018-10-28,2018-10-28,00:00:00,VR - Sidervile,RJ67,MP10,17.22,ug/m3,manual,2018,10,28,00,2018-10-28
2018-11-03,2018-11-03,00:00:00,VR - Sidervile,RJ67,MP10,45.18,ug/m3,manual,2018,11,3,00,2018-11-03
2018-11-09,2018-11-09,00:00:00,VR - Sidervile,RJ67,MP10,24.15,ug/m3,manual,2018,11,9,00,2018-11-09
2018-11-15,2018-11-15,00:00:00,VR - Sidervile,RJ67,MP10,42.65,ug/m3,manual,2018,11,15,00,2018-11-15
2018-11-21,2018-11-21,00:00:00,VR - Sidervile,RJ67,MP10,19.32,ug/m3,manual,2018,11,21,00,2018-11-21
2018-11-27,2018-11-27,00:00:00,VR - Sidervile,RJ67,MP10,23.03,ug/m3,manual,2018,11,27,00,2018-11-27
2018-12-03,2018-12-03,00:00:00,VR - Sidervile,RJ67,MP10,17.85,ug/m3,manual,2018,12,3,00,2018-12-03
2018-12-09,2018-12-09,00:00:00,VR - Sidervile,RJ67,MP10,21.24,ug/m3,manual,2018,12,9,00,2018-12-09
2018-12-21,2018-12-21,00:00:00,VR - Sidervile,RJ67,MP10,49.24,ug/m3,manual,2018,12,21,00,2018-12-21
2018-12-27,2018-12-27,00:00:00,VR - Sidervile,RJ67,MP10,31.92,ug/m3,manual,2018,12,27,00,2018-12-27
2018-01-01,2018-01-01,00:00:00,VR - Sidervile,RJ67,PTS,59.65,ug/m3,manual,2018,1,1,00,2018-01-01
2018-01-07,2018-01-07,00:00:00,VR - Sidervile,RJ67,PTS,39.91,ug/m3,manual,2018,1,7,00,2018-01-07
2018-01-13,2018-01-13,00:00:00,VR - Sidervile,RJ67,PTS,54.13,ug/m3,manual,2018,1,13,00,2018-01-13
2018-01-19,2018-01-19,00:00:00,VR - Sidervile,RJ67,PTS,77.21,ug/m3,manual,2018,1,19,00,2018-01-19
2018-01-25,2018-01-25,00:00:00,VR - Sidervile,RJ67,PTS,77.93,ug/m3,manual,2018,1,25,00,2018-01-25
2018-01-31,2018-01-31,00:00:00,VR - Sidervile,RJ67,PTS,37.68,ug/m3,manual,2018,1,31,00,2018-01-31
2018-02-06,2018-02-06,00:00:00,VR - Sidervile,RJ67,PTS,24.28,ug/m3,manual,2018,2,6,00,2018-02-06
2018-02-12,2018-02-12,00:00:00,VR - Sidervile,RJ67,PTS,46.7,ug/m3,manual,2018,2,12,00,2018-02-12
2018-02-18,2018-02-18,00:00:00,VR - Sidervile,RJ67,PTS,50.92,ug/m3,manual,2018,2,18,00,2018-02-18
2018-02-24,2018-02-24,00:00:00,VR - Sidervile,RJ67,PTS,32.59,ug/m3,manual,2018,2,24,00,2018-02-24
2018-03-02,2018-03-02,00:00:00,VR - Sidervile,RJ67,PTS,63.71,ug/m3,manual,2018,3,2,00,2018-03-02
2018-03-08,2018-03-08,00:00:00,VR - Sidervile,RJ67,PTS,27.6,ug/m3,manual,2018,3,8,00,2018-03-08
2018-03-14,2018-03-14,00:00:00,VR - Sidervile,RJ67,PTS,85.58,ug/m3,manual,2018,3,14,00,2018-03-14
2018-03-20,2018-03-20,00:00:00,VR - Sidervile,RJ67,PTS,75.86,ug/m3,manual,2018,3,20,00,2018-03-20
2018-03-26,2018-03-26,00:00:00,VR - Sidervile,RJ67,PTS,63.09,ug/m3,manual,2018,3,26,00,2018-03-26
2018-04-01,2018-04-01,00:00:00,VR - Sidervile,RJ67,PTS,88.02,ug/m3,manual,2018,4,1,00,2018-04-01
2018-04-07,2018-04-07,00:00:00,VR - Sidervile,RJ67,PTS,54.9,ug/m3,manual,2018,4,7,00,2018-04-07
2018-04-13,2018-04-13,00:00:00,VR - Sidervile,RJ67,PTS,46.84,ug/m3,manual,2018,4,13,00,2018-04-13
2018-04-19,2018-04-19,00:00:00,VR - Sidervile,RJ67,PTS,46.46,ug/m3,manual,2018,4,19,00,2018-04-19
2018-04-25,2018-04-25,00:00:00,VR - Sidervile,RJ67,PTS,77.93,ug/m3,manual,2018,4,25,00,2018-04-25
2018-05-01,2018-05-01,00:00:00,VR - Sidervile,RJ67,PTS,72.77,ug/m3,manual,2018,5,1,00,2018-05-01
2018-05-07,2018-05-07,00:00:00,VR - Sidervile,RJ67,PTS,51.72,ug/m3,manual,2018,5,7,00,2018-05-07
2018-05-13,2018-05-13,00:00:00,VR - Sidervile,RJ67,PTS,33.39,ug/m3,manual,2018,5,13,00,2018-05-13
2018-05-19,2018-05-19,00:00:00,VR - Sidervile,RJ67,PTS,87.16,ug/m3,manual,2018,5,19,00,2018-05-19
2018-05-25,2018-05-25,00:00:00,VR - Sidervile,RJ67,PTS,61.59,ug/m3,manual,2018,5,25,00,2018-05-25
2018-05-31,2018-05-31,00:00:00,VR - Sidervile,RJ67,PTS,81.32,ug/m3,manual,2018,5,31,00,2018-05-31
2018-06-06,2018-06-06,00:00:00,VR - Sidervile,RJ67,PTS,62.57,ug/m3,manual,2018,6,6,00,2018-06-06
2018-06-12,2018-06-12,00:00:00,VR - Sidervile,RJ67,PTS,89.56,ug/m3,manual,2018,6,12,00,2018-06-12
2018-06-18,2018-06-18,00:00:00,VR - Sidervile,RJ67,PTS,38.24,ug/m3,manual,2018,6,18,00,2018-06-18
2018-06-24,2018-06-24,00:00:00,VR - Sidervile,RJ67,PTS,129.67,ug/m3,manual,2018,6,24,00,2018-06-24
2018-06-30,2018-06-30,00:00:00,VR - Sidervile,RJ67,PTS,74.24,ug/m3,manual,2018,6,30,00,2018-06-30
2018-07-12,2018-07-12,00:00:00,VR - Sidervile,RJ67,PTS,53.26,ug/m3,manual,2018,7,12,00,2018-07-12
2018-07-18,2018-07-18,00:00:00,VR - Sidervile,RJ67,PTS,81.26,ug/m3,manual,2018,7,18,00,2018-07-18
2018-07-24,2018-07-24,00:00:00,VR - Sidervile,RJ67,PTS,84.0,ug/m3,manual,2018,7,24,00,2018-07-24
