datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2021-02-02,2021-02-02,00:00:00,VR - São Luís (PH02),RJ296,PTS,23.74,µg/m³,Manual,2021,2,2,00,2021-02-02
2021-02-08,2021-02-08,00:00:00,VR - São Luís (PH02),RJ296,PTS,20.61,µg/m³,Manual,2021,2,8,00,2021-02-08
2021-02-26,2021-02-26,00:00:00,VR - São Luís (PH02),RJ296,PTS,24.12,µg/m³,Manual,2021,2,26,00,2021-02-26
2021-03-04,2021-03-04,00:00:00,VR - São Luís (PH02),RJ296,PTS,39.54,µg/m³,Manual,2021,3,4,00,2021-03-04
2021-03-10,2021-03-10,00:00:00,VR - São Luís (PH02),RJ296,PTS,30.56,µg/m³,Manual,2021,3,10,00,2021-03-10
2021-03-16,2021-03-16,00:00:00,VR - São Luís (PH02),RJ296,PTS,27.15,µg/m³,Manual,2021,3,16,00,2021-03-16
2021-03-22,2021-03-22,00:00:00,VR - São Luís (PH02),RJ296,PTS,28.58,µg/m³,Manual,2021,3,22,00,2021-03-22
2021-04-27,2021-04-27,00:00:00,VR - São Luís (PH02),RJ296,PTS,27.87,µg/m³,Manual,2021,4,27,00,2021-04-27
2021-05-03,2021-05-03,00:00:00,VR - São Luís (PH02),RJ296,PTS,37.89,µg/m³,Manual,2021,5,3,00,2021-05-03
2021-05-09,2021-05-09,00:00:00,VR - São Luís (PH02),RJ296,PTS,23.78,µg/m³,Manual,2021,5,9,00,2021-05-09
2021-05-15,2021-05-15,00:00:00,VR - São Luís (PH02),RJ296,PTS,42.28,µg/m³,Manual,2021,5,15,00,2021-05-15
2021-05-21,2021-05-21,00:00:00,VR - São Luís (PH02),RJ296,PTS,53.82,µg/m³,Manual,2021,5,21,00,2021-05-21
2021-05-27,2021-05-27,00:00:00,VR - São Luís (PH02),RJ296,PTS,102.87,µg/m³,Manual,2021,5,27,00,2021-05-27
2021-06-14,2021-06-14,00:00:00,VR - São Luís (PH02),RJ296,PTS,25.1,µg/m³,Manual,2021,6,14,00,2021-06-14
2021-06-20,2021-06-20,00:00:00,VR - São Luís (PH02),RJ296,PTS,34.2,µg/m³,Manual,2021,6,20,00,2021-06-20
2021-06-26,2021-06-26,00:00:00,VR - São Luís (PH02),RJ296,PTS,47.05,µg/m³,Manual,2021,6,26,00,2021-06-26
2021-07-02,2021-07-02,00:00:00,VR - São Luís (PH02),RJ296,PTS,49.42,µg/m³,Manual,2021,7,2,00,2021-07-02
2021-07-08,2021-07-08,00:00:00,VR - São Luís (PH02),RJ296,PTS,42.63,µg/m³,Manual,2021,7,8,00,2021-07-08
2021-07-14,2021-07-14,00:00:00,VR - São Luís (PH02),RJ296,PTS,51.88,µg/m³,Manual,2021,7,14,00,2021-07-14
2021-07-20,2021-07-20,00:00:00,VR - São Luís (PH02),RJ296,PTS,46.28,µg/m³,Manual,2021,7,20,00,2021-07-20
2021-07-26,2021-07-26,00:00:00,VR - São Luís (PH02),RJ296,PTS,57.47,µg/m³,Manual,2021,7,26,00,2021-07-26
2021-08-01,2021-08-01,00:00:00,VR - São Luís (PH02),RJ296,PTS,23.98,µg/m³,Manual,2021,8,1,00,2021-08-01
2021-08-07,2021-08-07,00:00:00,VR - São Luís (PH02),RJ296,PTS,28.99,µg/m³,Manual,2021,8,7,00,2021-08-07
2021-08-13,2021-08-13,00:00:00,VR - São Luís (PH02),RJ296,PTS,22.54,µg/m³,Manual,2021,8,13,00,2021-08-13
2021-08-19,2021-08-19,00:00:00,VR - São Luís (PH02),RJ296,PTS,32.33,µg/m³,Manual,2021,8,19,00,2021-08-19
2021-08-25,2021-08-25,00:00:00,VR - São Luís (PH02),RJ296,PTS,63.3,µg/m³,Manual,2021,8,25,00,2021-08-25
2021-08-31,2021-08-31,00:00:00,VR - São Luís (PH02),RJ296,PTS,22.28,µg/m³,Manual,2021,8,31,00,2021-08-31
2021-09-06,2021-09-06,00:00:00,VR - São Luís (PH02),RJ296,PTS,45.17,µg/m³,Manual,2021,9,6,00,2021-09-06
2021-09-12,2021-09-12,00:00:00,VR - São Luís (PH02),RJ296,PTS,17.21,µg/m³,Manual,2021,9,12,00,2021-09-12
2021-09-18,2021-09-18,00:00:00,VR - São Luís (PH02),RJ296,PTS,39.81,µg/m³,Manual,2021,9,18,00,2021-09-18
2021-09-24,2021-09-24,00:00:00,VR - São Luís (PH02),RJ296,PTS,38.01,µg/m³,Manual,2021,9,24,00,2021-09-24
2021-09-30,2021-09-30,00:00:00,VR - São Luís (PH02),RJ296,PTS,34.14,µg/m³,Manual,2021,9,30,00,2021-09-30
2021-10-24,2021-10-24,00:00:00,VR - São Luís (PH02),RJ296,PTS,21.33,µg/m³,Manual,2021,10,24,00,2021-10-24
2021-10-30,2021-10-30,00:00:00,VR - São Luís (PH02),RJ296,PTS,18.98,µg/m³,Manual,2021,10,30,00,2021-10-30
2021-11-05,2021-11-05,00:00:00,VR - São Luís (PH02),RJ296,PTS,32.84,µg/m³,Manual,2021,11,5,00,2021-11-05
2021-11-11,2021-11-11,00:00:00,VR - São Luís (PH02),RJ296,PTS,33.56,µg/m³,Manual,2021,11,11,00,2021-11-11
2021-11-17,2021-11-17,00:00:00,VR - São Luís (PH02),RJ296,PTS,31.59,µg/m³,Manual,2021,11,17,00,2021-11-17
2021-11-23,2021-11-23,00:00:00,VR - São Luís (PH02),RJ296,PTS,33.97,µg/m³,Manual,2021,11,23,00,2021-11-23
2021-11-29,2021-11-29,00:00:00,VR - São Luís (PH02),RJ296,PTS,32.14,µg/m³,Manual,2021,11,29,00,2021-11-29
2021-12-05,2021-12-05,00:00:00,VR - São Luís (PH02),RJ296,PTS,21.51,µg/m³,Manual,2021,12,5,00,2021-12-05
2021-12-11,2021-12-11,00:00:00,VR - São Luís (PH02),RJ296,PTS,21.81,µg/m³,Manual,2021,12,11,00,2021-12-11
2021-12-17,2021-12-17,00:00:00,VR - São Luís (PH02),RJ296,PTS,21.11,µg/m³,Manual,2021,12,17,00,2021-12-17
2021-12-23,2021-12-23,00:00:00,VR - São Luís (PH02),RJ296,PTS,19.05,µg/m³,Manual,2021,12,23,00,2021-12-23
2022-01-04,2022-01-04,00:00:00,VR - São Luís (PH02),RJ296,PTS,24.56,ug/m3,Manual,2022,1,4,00,2022-01-04
2022-01-10,2022-01-10,00:00:00,VR - São Luís (PH02),RJ296,PTS,24.83,ug/m3,Manual,2022,1,10,00,2022-01-10
2022-01-16,2022-01-16,00:00:00,VR - São Luís (PH02),RJ296,PTS,28.38,ug/m3,Manual,2022,1,16,00,2022-01-16
2022-01-22,2022-01-22,00:00:00,VR - São Luís (PH02),RJ296,PTS,27.45,ug/m3,Manual,2022,1,22,00,2022-01-22
2022-01-28,2022-01-28,00:00:00,VR - São Luís (PH02),RJ296,PTS,22.98,ug/m3,Manual,2022,1,28,00,2022-01-28
2022-02-03,2022-02-03,00:00:00,VR - São Luís (PH02),RJ296,PTS,26.98,ug/m3,Manual,2022,2,3,00,2022-02-03
2022-02-09,2022-02-09,00:00:00,VR - São Luís (PH02),RJ296,PTS,25.58,ug/m3,Manual,2022,2,9,00,2022-02-09
2022-02-15,2022-02-15,00:00:00,VR - São Luís (PH02),RJ296,PTS,26.22,ug/m3,Manual,2022,2,15,00,2022-02-15
2022-02-21,2022-02-21,00:00:00,VR - São Luís (PH02),RJ296,PTS,24.74,ug/m3,Manual,2022,2,21,00,2022-02-21
2022-02-27,2022-02-27,00:00:00,VR - São Luís (PH02),RJ296,PTS,29.86,ug/m3,Manual,2022,2,27,00,2022-02-27
2022-03-05,2022-03-05,00:00:00,VR - São Luís (PH02),RJ296,PTS,35.06,ug/m3,Manual,2022,3,5,00,2022-03-05
2022-03-11,2022-03-11,00:00:00,VR - São Luís (PH02),RJ296,PTS,24.23,ug/m3,Manual,2022,3,11,00,2022-03-11
2022-03-17,2022-03-17,00:00:00,VR - São Luís (PH02),RJ296,PTS,27.5,ug/m3,Manual,2022,3,17,00,2022-03-17
2022-03-23,2022-03-23,00:00:00,VR - São Luís (PH02),RJ296,PTS,24.89,ug/m3,Manual,2022,3,23,00,2022-03-23
2022-03-29,2022-03-29,00:00:00,VR - São Luís (PH02),RJ296,PTS,27.23,ug/m3,Manual,2022,3,29,00,2022-03-29
2022-04-04,2022-04-04,00:00:00,VR - São Luís (PH02),RJ296,PTS,23.04,ug/m3,Manual,2022,4,4,00,2022-04-04
2022-04-10,2022-04-10,00:00:00,VR - São Luís (PH02),RJ296,PTS,23.03,ug/m3,Manual,2022,4,10,00,2022-04-10
2022-04-16,2022-04-16,00:00:00,VR - São Luís (PH02),RJ296,PTS,18.16,ug/m3,Manual,2022,4,16,00,2022-04-16
2022-04-22,2022-04-22,00:00:00,VR - São Luís (PH02),RJ296,PTS,40.14,ug/m3,Manual,2022,4,22,00,2022-04-22
2022-04-28,2022-04-28,00:00:00,VR - São Luís (PH02),RJ296,PTS,33.57,ug/m3,Manual,2022,4,28,00,2022-04-28
2022-05-04,2022-05-04,00:00:00,VR - São Luís (PH02),RJ296,PTS,43.13,ug/m3,Manual,2022,5,4,00,2022-05-04
2022-05-10,2022-05-10,00:00:00,VR - São Luís (PH02),RJ296,PTS,36.54,ug/m3,Manual,2022,5,10,00,2022-05-10
2022-05-16,2022-05-16,00:00:00,VR - São Luís (PH02),RJ296,PTS,29.57,ug/m3,Manual,2022,5,16,00,2022-05-16
2022-05-22,2022-05-22,00:00:00,VR - São Luís (PH02),RJ296,PTS,24.32,ug/m3,Manual,2022,5,22,00,2022-05-22
2022-05-28,2022-05-28,00:00:00,VR - São Luís (PH02),RJ296,PTS,32.69,ug/m3,Manual,2022,5,28,00,2022-05-28
2022-06-03,2022-06-03,00:00:00,VR - São Luís (PH02),RJ296,PTS,43.09,ug/m3,Manual,2022,6,3,00,2022-06-03
2022-06-09,2022-06-09,00:00:00,VR - São Luís (PH02),RJ296,PTS,32.79,ug/m3,Manual,2022,6,9,00,2022-06-09
2022-06-15,2022-06-15,00:00:00,VR - São Luís (PH02),RJ296,PTS,27.27,ug/m3,Manual,2022,6,15,00,2022-06-15
2022-06-21,2022-06-21,00:00:00,VR - São Luís (PH02),RJ296,PTS,36.3,ug/m3,Manual,2022,6,21,00,2022-06-21
2022-06-27,2022-06-27,00:00:00,VR - São Luís (PH02),RJ296,PTS,22.21,ug/m3,Manual,2022,6,27,00,2022-06-27
2022-07-03,2022-07-03,00:00:00,VR - São Luís (PH02),RJ296,PTS,34.41,ug/m3,Manual,2022,7,3,00,2022-07-03
2022-07-09,2022-07-09,00:00:00,VR - São Luís (PH02),RJ296,PTS,32.77,ug/m3,Manual,2022,7,9,00,2022-07-09
2022-07-27,2022-07-27,00:00:00,VR - São Luís (PH02),RJ296,PTS,50.86,ug/m3,Manual,2022,7,27,00,2022-07-27
2022-08-02,2022-08-02,00:00:00,VR - São Luís (PH02),RJ296,PTS,50.86,ug/m3,Manual,2022,8,2,00,2022-08-02
2022-08-08,2022-08-08,00:00:00,VR - São Luís (PH02),RJ296,PTS,46.66,ug/m3,Manual,2022,8,8,00,2022-08-08
2022-08-14,2022-08-14,00:00:00,VR - São Luís (PH02),RJ296,PTS,33.22,ug/m3,Manual,2022,8,14,00,2022-08-14
2022-08-20,2022-08-20,00:00:00,VR - São Luís (PH02),RJ296,PTS,8.51,ug/m3,Manual,2022,8,20,00,2022-08-20
2022-08-26,2022-08-26,00:00:00,VR - São Luís (PH02),RJ296,PTS,42.57,ug/m3,Manual,2022,8,26,00,2022-08-26
2022-11-06,2022-11-06,00:00:00,VR - São Luís (PH02),RJ296,PTS,6.81,ug/m3,Manual,2022,11,6,00,2022-11-06
2022-11-12,2022-11-12,00:00:00,VR - São Luís (PH02),RJ296,PTS,18.61,ug/m3,Manual,2022,11,12,00,2022-11-12
2022-11-18,2022-11-18,00:00:00,VR - São Luís (PH02),RJ296,PTS,25.23,ug/m3,Manual,2022,11,18,00,2022-11-18
2022-11-24,2022-11-24,00:00:00,VR - São Luís (PH02),RJ296,PTS,30.13,ug/m3,Manual,2022,11,24,00,2022-11-24
2022-11-30,2022-11-30,00:00:00,VR - São Luís (PH02),RJ296,PTS,24.84,ug/m3,Manual,2022,11,30,00,2022-11-30
2022-12-06,2022-12-06,00:00:00,VR - São Luís (PH02),RJ296,PTS,7.66,ug/m3,Manual,2022,12,6,00,2022-12-06
2022-12-12,2022-12-12,00:00:00,VR - São Luís (PH02),RJ296,PTS,26.77,ug/m3,Manual,2022,12,12,00,2022-12-12
2022-12-18,2022-12-18,00:00:00,VR - São Luís (PH02),RJ296,PTS,23.3,ug/m3,Manual,2022,12,18,00,2022-12-18
2022-12-24,2022-12-24,00:00:00,VR - São Luís (PH02),RJ296,PTS,17.45,ug/m3,Manual,2022,12,24,00,2022-12-24
2022-12-30,2022-12-30,00:00:00,VR - São Luís (PH02),RJ296,PTS,13.09,ug/m3,Manual,2022,12,30,00,2022-12-30
