datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2015-04-29,2015-04-29,12:00,VR - Volta Grande,RJ61,MP10,5.0,ug/m3,manual,2015,4,29,12,2015-04-29 12:00:00
2015-05-05,2015-05-05,12:00,VR - Volta Grande,RJ61,MP10,3.0,ug/m3,manual,2015,5,5,12,2015-05-05 12:00:00
2015-05-11,2015-05-11,12:00,VR - Volta Grande,RJ61,MP10,10.0,ug/m3,manual,2015,5,11,12,2015-05-11 12:00:00
2015-05-17,2015-05-17,12:00,VR - Volta Grande,RJ61,MP10,9.0,ug/m3,manual,2015,5,17,12,2015-05-17 12:00:00
2015-05-23,2015-05-23,12:00,VR - Volta Grande,RJ61,MP10,11.0,ug/m3,manual,2015,5,23,12,2015-05-23 12:00:00
2015-05-29,2015-05-29,12:00,VR - Volta Grande,RJ61,MP10,13.0,ug/m3,manual,2015,5,29,12,2015-05-29 12:00:00
2015-06-04,2015-06-04,12:00,VR - Volta Grande,RJ61,MP10,10.0,ug/m3,manual,2015,6,4,12,2015-06-04 12:00:00
2015-06-10,2015-06-10,12:00,VR - Volta Grande,RJ61,MP10,11.0,ug/m3,manual,2015,6,10,12,2015-06-10 12:00:00
2015-06-16,2015-06-16,12:00,VR - Volta Grande,RJ61,MP10,5.0,ug/m3,manual,2015,6,16,12,2015-06-16 12:00:00
2015-06-22,2015-06-22,12:00,VR - Volta Grande,RJ61,MP10,8.0,ug/m3,manual,2015,6,22,12,2015-06-22 12:00:00
2015-06-28,2015-06-28,12:00,VR - Volta Grande,RJ61,MP10,13.0,ug/m3,manual,2015,6,28,12,2015-06-28 12:00:00
2015-07-22,2015-07-22,12:00,VR - Volta Grande,RJ61,MP10,6.0,ug/m3,manual,2015,7,22,12,2015-07-22 12:00:00
2015-08-09,2015-08-09,12:00,VR - Volta Grande,RJ61,MP10,11.0,ug/m3,manual,2015,8,9,12,2015-08-09 12:00:00
2015-08-15,2015-08-15,12:00,VR - Volta Grande,RJ61,MP10,13.0,ug/m3,manual,2015,8,15,12,2015-08-15 12:00:00
2015-08-27,2015-08-27,12:00,VR - Volta Grande,RJ61,MP10,10.0,ug/m3,manual,2015,8,27,12,2015-08-27 12:00:00
2015-09-02,2015-09-02,12:00,VR - Volta Grande,RJ61,MP10,11.0,ug/m3,manual,2015,9,2,12,2015-09-02 12:00:00
2015-09-08,2015-09-08,12:00,VR - Volta Grande,RJ61,MP10,9.0,ug/m3,manual,2015,9,8,12,2015-09-08 12:00:00
2015-09-14,2015-09-14,12:00,VR - Volta Grande,RJ61,MP10,3.0,ug/m3,manual,2015,9,14,12,2015-09-14 12:00:00
2015-09-26,2015-09-26,12:00,VR - Volta Grande,RJ61,MP10,14.0,ug/m3,manual,2015,9,26,12,2015-09-26 12:00:00
2015-10-02,2015-10-02,12:00,VR - Volta Grande,RJ61,MP10,11.0,ug/m3,manual,2015,10,2,12,2015-10-02 12:00:00
2015-10-08,2015-10-08,12:00,VR - Volta Grande,RJ61,MP10,10.0,ug/m3,manual,2015,10,8,12,2015-10-08 12:00:00
2015-10-14,2015-10-14,12:00,VR - Volta Grande,RJ61,MP10,13.0,ug/m3,manual,2015,10,14,12,2015-10-14 12:00:00
2015-10-20,2015-10-20,12:00,VR - Volta Grande,RJ61,MP10,7.0,ug/m3,manual,2015,10,20,12,2015-10-20 12:00:00
2015-12-01,2015-12-01,12:00,VR - Volta Grande,RJ61,MP10,8.0,ug/m3,manual,2015,12,1,12,2015-12-01 12:00:00
2015-12-07,2015-12-07,12:00,VR - Volta Grande,RJ61,MP10,8.0,ug/m3,manual,2015,12,7,12,2015-12-07 12:00:00
2015-12-13,2015-12-13,12:00,VR - Volta Grande,RJ61,MP10,6.0,ug/m3,manual,2015,12,13,12,2015-12-13 12:00:00
2015-12-19,2015-12-19,12:00,VR - Volta Grande,RJ61,MP10,8.0,ug/m3,manual,2015,12,19,12,2015-12-19 12:00:00
2015-04-23,2015-04-23,12:00,VR - Volta Grande,RJ61,PTS,58.0,ug/m3,manual,2015,4,23,12,2015-04-23 12:00:00
2015-04-29,2015-04-29,12:00,VR - Volta Grande,RJ61,PTS,38.0,ug/m3,manual,2015,4,29,12,2015-04-29 12:00:00
2015-05-05,2015-05-05,12:00,VR - Volta Grande,RJ61,PTS,37.0,ug/m3,manual,2015,5,5,12,2015-05-05 12:00:00
2015-05-11,2015-05-11,12:00,VR - Volta Grande,RJ61,PTS,40.0,ug/m3,manual,2015,5,11,12,2015-05-11 12:00:00
2015-05-17,2015-05-17,12:00,VR - Volta Grande,RJ61,PTS,39.0,ug/m3,manual,2015,5,17,12,2015-05-17 12:00:00
2015-05-23,2015-05-23,12:00,VR - Volta Grande,RJ61,PTS,40.0,ug/m3,manual,2015,5,23,12,2015-05-23 12:00:00
2015-05-29,2015-05-29,12:00,VR - Volta Grande,RJ61,PTS,46.0,ug/m3,manual,2015,5,29,12,2015-05-29 12:00:00
2015-06-04,2015-06-04,12:00,VR - Volta Grande,RJ61,PTS,44.0,ug/m3,manual,2015,6,4,12,2015-06-04 12:00:00
2015-06-10,2015-06-10,12:00,VR - Volta Grande,RJ61,PTS,63.0,ug/m3,manual,2015,6,10,12,2015-06-10 12:00:00
2015-06-16,2015-06-16,12:00,VR - Volta Grande,RJ61,PTS,57.0,ug/m3,manual,2015,6,16,12,2015-06-16 12:00:00
2015-06-22,2015-06-22,12:00,VR - Volta Grande,RJ61,PTS,37.0,ug/m3,manual,2015,6,22,12,2015-06-22 12:00:00
2015-06-28,2015-06-28,12:00,VR - Volta Grande,RJ61,PTS,34.0,ug/m3,manual,2015,6,28,12,2015-06-28 12:00:00
2015-07-22,2015-07-22,12:00,VR - Volta Grande,RJ61,PTS,35.0,ug/m3,manual,2015,7,22,12,2015-07-22 12:00:00
2015-07-28,2015-07-28,12:00,VR - Volta Grande,RJ61,PTS,50.0,ug/m3,manual,2015,7,28,12,2015-07-28 12:00:00
2015-08-03,2015-08-03,12:00,VR - Volta Grande,RJ61,PTS,83.0,ug/m3,manual,2015,8,3,12,2015-08-03 12:00:00
2015-08-09,2015-08-09,12:00,VR - Volta Grande,RJ61,PTS,44.0,ug/m3,manual,2015,8,9,12,2015-08-09 12:00:00
2015-08-15,2015-08-15,12:00,VR - Volta Grande,RJ61,PTS,48.0,ug/m3,manual,2015,8,15,12,2015-08-15 12:00:00
2015-08-27,2015-08-27,12:00,VR - Volta Grande,RJ61,PTS,33.0,ug/m3,manual,2015,8,27,12,2015-08-27 12:00:00
2015-09-02,2015-09-02,12:00,VR - Volta Grande,RJ61,PTS,36.0,ug/m3,manual,2015,9,2,12,2015-09-02 12:00:00
2015-09-08,2015-09-08,12:00,VR - Volta Grande,RJ61,PTS,55.0,ug/m3,manual,2015,9,8,12,2015-09-08 12:00:00
2015-09-14,2015-09-14,12:00,VR - Volta Grande,RJ61,PTS,12.0,ug/m3,manual,2015,9,14,12,2015-09-14 12:00:00
2015-10-02,2015-10-02,12:00,VR - Volta Grande,RJ61,PTS,46.0,ug/m3,manual,2015,10,2,12,2015-10-02 12:00:00
2015-10-08,2015-10-08,12:00,VR - Volta Grande,RJ61,PTS,49.0,ug/m3,manual,2015,10,8,12,2015-10-08 12:00:00
2015-10-14,2015-10-14,12:00,VR - Volta Grande,RJ61,PTS,69.0,ug/m3,manual,2015,10,14,12,2015-10-14 12:00:00
2015-10-26,2015-10-26,12:00,VR - Volta Grande,RJ61,PTS,42.0,ug/m3,manual,2015,10,26,12,2015-10-26 12:00:00
2015-11-01,2015-11-01,12:00,VR - Volta Grande,RJ61,PTS,37.0,ug/m3,manual,2015,11,1,12,2015-11-01 12:00:00
2015-12-01,2015-12-01,12:00,VR - Volta Grande,RJ61,PTS,30.0,ug/m3,manual,2015,12,1,12,2015-12-01 12:00:00
2015-12-07,2015-12-07,12:00,VR - Volta Grande,RJ61,PTS,26.0,ug/m3,manual,2015,12,7,12,2015-12-07 12:00:00
2015-12-13,2015-12-13,12:00,VR - Volta Grande,RJ61,PTS,26.0,ug/m3,manual,2015,12,13,12,2015-12-13 12:00:00
2015-12-19,2015-12-19,12:00,VR - Volta Grande,RJ61,PTS,33.0,ug/m3,manual,2015,12,19,12,2015-12-19 12:00:00
2017-07-17,2017-07-17,01:00,VR - Volta Grande,RJ61,PTS,64.0,ug/m3,manual,2017,7,17,01,2017-07-17 01:00:00
2017-08-10,2017-08-10,01:00,VR - Volta Grande,RJ61,PTS,27.0,ug/m3,manual,2017,8,10,01,2017-08-10 01:00:00
2017-09-03,2017-09-03,01:00,VR - Volta Grande,RJ61,PTS,47.0,ug/m3,manual,2017,9,3,01,2017-09-03 01:00:00
2017-09-09,2017-09-09,01:00,VR - Volta Grande,RJ61,PTS,62.0,ug/m3,manual,2017,9,9,01,2017-09-09 01:00:00
2017-09-15,2017-09-15,01:00,VR - Volta Grande,RJ61,PTS,82.0,ug/m3,manual,2017,9,15,01,2017-09-15 01:00:00
2017-09-21,2017-09-21,01:00,VR - Volta Grande,RJ61,PTS,3.0,ug/m3,manual,2017,9,21,01,2017-09-21 01:00:00
