datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2019-01-02,2019-01-02,00:00,Área interna,RJ239,PTS,30.84,µg/m3,manual,2019,1,2,00,2019-01-02
2019-01-08,2019-01-08,00:00,Área interna,RJ239,PTS,37.76,µg/m3,manual,2019,1,8,00,2019-01-08
2019-01-14,2019-01-14,00:00,Área interna,RJ239,PTS,57.24,µg/m3,manual,2019,1,14,00,2019-01-14
2019-02-07,2019-02-07,00:00,Área interna,RJ239,PTS,26.14,µg/m3,manual,2019,2,7,00,2019-02-07
2019-02-13,2019-02-13,00:00,Área interna,RJ239,PTS,26.74,µg/m3,manual,2019,2,13,00,2019-02-13
2019-02-25,2019-02-25,00:00,Área interna,RJ239,PTS,59.97,µg/m3,manual,2019,2,25,00,2019-02-25
2019-03-03,2019-03-03,00:00,Área interna,RJ239,PTS,30.83,µg/m3,manual,2019,3,3,00,2019-03-03
2019-03-09,2019-03-09,00:00,Área interna,RJ239,PTS,47.27,µg/m3,manual,2019,3,9,00,2019-03-09
2019-03-15,2019-03-15,00:00,Área interna,RJ239,PTS,42.09,µg/m3,manual,2019,3,15,00,2019-03-15
2019-03-21,2019-03-21,00:00,Área interna,RJ239,PTS,19.07,µg/m3,manual,2019,3,21,00,2019-03-21
2019-03-27,2019-03-27,00:00,Área interna,RJ239,PTS,39.46,µg/m3,manual,2019,3,27,00,2019-03-27
2019-04-02,2019-04-02,00:00,Área interna,RJ239,PTS,23.78,µg/m3,manual,2019,4,2,00,2019-04-02
2019-04-14,2019-04-14,00:00,Área interna,RJ239,PTS,32.03,µg/m3,manual,2019,4,14,00,2019-04-14
2019-04-20,2019-04-20,00:00,Área interna,RJ239,PTS,32.51,µg/m3,manual,2019,4,20,00,2019-04-20
2019-04-26,2019-04-26,00:00,Área interna,RJ239,PTS,58.35,µg/m3,manual,2019,4,26,00,2019-04-26
2019-05-08,2019-05-08,00:00,Área interna,RJ239,PTS,28.03,µg/m3,manual,2019,5,8,00,2019-05-08
2019-05-14,2019-05-14,00:00,Área interna,RJ239,PTS,53.38,µg/m3,manual,2019,5,14,00,2019-05-14
2019-05-20,2019-05-20,00:00,Área interna,RJ239,PTS,30.25,µg/m3,manual,2019,5,20,00,2019-05-20
2019-05-26,2019-05-26,00:00,Área interna,RJ239,PTS,33.68,µg/m3,manual,2019,5,26,00,2019-05-26
2019-07-01,2019-07-01,00:00,Área interna,RJ239,PTS,32.55,µg/m3,manual,2019,7,1,00,2019-07-01
