Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo
2016-08-25,14:00:00,CIPP,CE01,CO,137,ug/m3,automatico
2016-08-25,15:00:00,CIPP,CE01,CO,114,ug/m3,automatico
2016-08-25,16:00:00,CIPP,CE01,CO,160,ug/m3,automatico
2016-08-25,17:00:00,CIPP,CE01,CO,275,ug/m3,automatico
2016-08-25,18:00:00,CIPP,CE01,CO,595,ug/m3,automatico
2016-08-25,19:00:00,CIPP,CE01,CO,721,ug/m3,automatico
2016-08-25,20:00:00,CIPP,CE01,CO,538,ug/m3,automatico
2016-08-25,21:00:00,CIPP,CE01,CO,435,ug/m3,automatico
2016-08-25,22:00:00,CIPP,CE01,CO,401,ug/m3,automatico
2016-08-25,23:00:00,CIPP,CE01,CO,504,ug/m3,automatico
2016-08-26,00:00:00,CIPP,CE01,CO,492,ug/m3,automatico
2016-08-26,01:00:00,CIPP,CE01,CO,492,ug/m3,automatico
2016-08-26,02:00:00,CIPP,CE01,CO,412,ug/m3,automatico
2016-08-26,03:00:00,CIPP,CE01,CO,424,ug/m3,automatico
2016-08-26,04:00:00,CIPP,CE01,CO,447,ug/m3,automatico
2016-08-26,05:00:00,CIPP,CE01,CO,469,ug/m3,automatico
2016-08-26,06:00:00,CIPP,CE01,CO,607,ug/m3,automatico
2016-08-26,07:00:00,CIPP,CE01,CO,905,ug/m3,automatico
2016-08-26,08:00:00,CIPP,CE01,CO,1076,ug/m3,automatico
2016-08-26,09:00:00,CIPP,CE01,CO,618,ug/m3,automatico
2016-08-26,10:00:00,CIPP,CE01,CO,607,ug/m3,automatico
2016-08-26,11:00:00,CIPP,CE01,CO,458,ug/m3,automatico
2016-08-26,12:00:00,CIPP,CE01,CO,218,ug/m3,automatico
2016-08-26,13:00:00,CIPP,CE01,CO,114,ug/m3,automatico
2016-08-26,14:00:00,CIPP,CE01,CO,92,ug/m3,automatico
2016-08-26,15:00:00,CIPP,CE01,CO,160,ug/m3,automatico
2016-08-26,16:00:00,CIPP,CE01,CO,92,ug/m3,automatico
2016-08-26,17:00:00,CIPP,CE01,CO,195,ug/m3,automatico
2016-08-26,18:00:00,CIPP,CE01,CO,435,ug/m3,automatico
2016-08-26,19:00:00,CIPP,CE01,CO,687,ug/m3,automatico
2016-08-26,20:00:00,CIPP,CE01,CO,2118,ug/m3,automatico
2016-08-26,21:00:00,CIPP,CE01,CO,1111,ug/m3,automatico
2016-08-26,22:00:00,CIPP,CE01,CO,1374,ug/m3,automatico
2016-08-26,23:00:00,CIPP,CE01,CO,1546,ug/m3,automatico
2016-08-27,00:00:00,CIPP,CE01,CO,2805,ug/m3,automatico
2016-08-27,01:00:00,CIPP,CE01,CO,2576,ug/m3,automatico
2016-08-27,02:00:00,CIPP,CE01,CO,2404,ug/m3,automatico
2016-08-27,03:00:00,CIPP,CE01,CO,1878,ug/m3,automatico
2016-08-27,04:00:00,CIPP,CE01,CO,1454,ug/m3,automatico
2016-08-27,05:00:00,CIPP,CE01,CO,1672,ug/m3,automatico
2016-08-27,06:00:00,CIPP,CE01,CO,1134,ug/m3,automatico
2016-08-27,07:00:00,CIPP,CE01,CO,1385,ug/m3,automatico
2016-08-27,08:00:00,CIPP,CE01,CO,1191,ug/m3,automatico
2016-08-27,09:00:00,CIPP,CE01,CO,1030,ug/m3,automatico
2016-08-27,10:00:00,CIPP,CE01,CO,962,ug/m3,automatico
2016-08-27,11:00:00,CIPP,CE01,CO,721,ug/m3,automatico
2016-08-27,12:00:00,CIPP,CE01,CO,332,ug/m3,automatico
2016-08-27,13:00:00,CIPP,CE01,CO,195,ug/m3,automatico
2016-08-27,14:00:00,CIPP,CE01,CO,137,ug/m3,automatico
2016-08-27,15:00:00,CIPP,CE01,CO,114,ug/m3,automatico
2016-08-27,16:00:00,CIPP,CE01,CO,92,ug/m3,automatico
2016-08-27,17:00:00,CIPP,CE01,CO,183,ug/m3,automatico
2016-08-27,18:00:00,CIPP,CE01,CO,481,ug/m3,automatico
2016-08-27,19:00:00,CIPP,CE01,CO,905,ug/m3,automatico
2016-08-27,20:00:00,CIPP,CE01,CO,1145,ug/m3,automatico
2016-08-27,21:00:00,CIPP,CE01,CO,1076,ug/m3,automatico
2016-08-27,22:00:00,CIPP,CE01,CO,1271,ug/m3,automatico
2016-08-27,23:00:00,CIPP,CE01,CO,630,ug/m3,automatico
2016-08-28,00:00:00,CIPP,CE01,CO,618,ug/m3,automatico
2016-08-28,01:00:00,CIPP,CE01,CO,882,ug/m3,automatico
2016-08-28,02:00:00,CIPP,CE01,CO,962,ug/m3,automatico
2016-08-28,03:00:00,CIPP,CE01,CO,1019,ug/m3,automatico
2016-08-28,04:00:00,CIPP,CE01,CO,905,ug/m3,automatico
2016-08-28,05:00:00,CIPP,CE01,CO,916,ug/m3,automatico
2016-08-28,06:00:00,CIPP,CE01,CO,1053,ug/m3,automatico
2016-08-28,07:00:00,CIPP,CE01,CO,985,ug/m3,automatico
2016-08-28,08:00:00,CIPP,CE01,CO,1179,ug/m3,automatico
2016-08-28,09:00:00,CIPP,CE01,CO,733,ug/m3,automatico
2016-08-28,10:00:00,CIPP,CE01,CO,618,ug/m3,automatico
2016-08-28,11:00:00,CIPP,CE01,CO,527,ug/m3,automatico
2016-08-28,12:00:00,CIPP,CE01,CO,321,ug/m3,automatico
2016-08-28,13:00:00,CIPP,CE01,CO,366,ug/m3,automatico
2016-08-28,14:00:00,CIPP,CE01,CO,252,ug/m3,automatico
2016-08-28,15:00:00,CIPP,CE01,CO,240,ug/m3,automatico
2016-08-28,16:00:00,CIPP,CE01,CO,263,ug/m3,automatico
2016-08-28,17:00:00,CIPP,CE01,CO,424,ug/m3,automatico
2016-08-28,18:00:00,CIPP,CE01,CO,538,ug/m3,automatico
2016-08-28,19:00:00,CIPP,CE01,CO,1019,ug/m3,automatico
2016-08-28,20:00:00,CIPP,CE01,CO,2038,ug/m3,automatico
2016-08-28,21:00:00,CIPP,CE01,CO,2290,ug/m3,automatico
2016-08-28,22:00:00,CIPP,CE01,CO,2244,ug/m3,automatico
2016-08-28,23:00:00,CIPP,CE01,CO,1821,ug/m3,automatico
2016-08-29,00:00:00,CIPP,CE01,CO,1397,ug/m3,automatico
2016-08-29,01:00:00,CIPP,CE01,CO,1374,ug/m3,automatico
2016-08-29,02:00:00,CIPP,CE01,CO,1340,ug/m3,automatico
2016-08-29,03:00:00,CIPP,CE01,CO,1328,ug/m3,automatico
2016-08-29,04:00:00,CIPP,CE01,CO,1260,ug/m3,automatico
2016-08-29,05:00:00,CIPP,CE01,CO,1431,ug/m3,automatico
2016-08-29,06:00:00,CIPP,CE01,CO,1603,ug/m3,automatico
2016-08-29,07:00:00,CIPP,CE01,CO,1454,ug/m3,automatico
2016-08-29,08:00:00,CIPP,CE01,CO,1843,ug/m3,automatico
2016-08-29,09:00:00,CIPP,CE01,CO,1809,ug/m3,automatico
2016-08-29,10:00:00,CIPP,CE01,CO,744,ug/m3,automatico
2016-08-29,11:00:00,CIPP,CE01,CO,550,ug/m3,automatico
2016-08-29,12:00:00,CIPP,CE01,CO,401,ug/m3,automatico
2016-08-29,13:00:00,CIPP,CE01,CO,332,ug/m3,automatico
2016-08-29,14:00:00,CIPP,CE01,CO,332,ug/m3,automatico
2016-08-29,15:00:00,CIPP,CE01,CO,218,ug/m3,automatico
2016-08-29,16:00:00,CIPP,CE01,CO,286,ug/m3,automatico
2016-08-29,17:00:00,CIPP,CE01,CO,355,ug/m3,automatico
2016-08-29,18:00:00,CIPP,CE01,CO,607,ug/m3,automatico
2016-08-29,19:00:00,CIPP,CE01,CO,1008,ug/m3,automatico
2016-08-29,20:00:00,CIPP,CE01,CO,1363,ug/m3,automatico
2016-08-29,21:00:00,CIPP,CE01,CO,1156,ug/m3,automatico
2016-08-29,22:00:00,CIPP,CE01,CO,1637,ug/m3,automatico
2016-08-29,23:00:00,CIPP,CE01,CO,1500,ug/m3,automatico
2016-08-30,00:00:00,CIPP,CE01,CO,1122,ug/m3,automatico
2016-08-30,01:00:00,CIPP,CE01,CO,1179,ug/m3,automatico
2016-08-30,02:00:00,CIPP,CE01,CO,733,ug/m3,automatico
2016-08-30,03:00:00,CIPP,CE01,CO,756,ug/m3,automatico
