,,Valor,Valor,Valor,Valor,Valor,Valor,Valor,Valor,datetime,datetime,datetime,datetime,datetime,datetime,datetime,datetime,year,year,year,year,year,year,year,year,month,month,month,month,month,month,month,month,day,day,day,day,day,day,day,day
,,count,mean,min,25%,50%,75%,max,std,count,mean,min,25%,50%,75%,max,std,count,mean,min,25%,50%,75%,max,std,count,mean,min,25%,50%,75%,max,std,count,mean,min,25%,50%,75%,max,std
Estacao,Poluente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIPP,CO,18614.0,347.1603631675083,0.0,252.0,344.0,424.0,14461.0,415.205446102676,18614,2018-05-09 22:00:53.379176960,2016-08-25 14:00:00,2017-04-18 23:15:00,2018-02-26 16:30:00,2019-06-15 12:45:00,2020-01-06 11:00:00,,18614.0,2017.9008810572686,2016.0,2017.0,2018.0,2019.0,2020.0,1.1105576472166456,18614.0,5.955624798538734,1.0,3.0,6.0,9.0,12.0,3.4384421374583067,18614.0,15.673632749543355,1.0,8.0,16.0,23.0,31.0,8.801537155646946
CIPP,MP10,13557.0,23.830714759902634,0.0,11.0,19.0,29.0,985.0,44.941198336665714,13557,2018-07-03 03:24:26.076565504,2016-08-25 14:00:00,2017-02-25 07:00:00,2019-03-01 08:00:00,2019-07-24 21:00:00,2020-01-06 11:00:00,,13557.0,2018.015785203216,2016.0,2017.0,2019.0,2019.0,2020.0,1.2224727022349544,13557.0,6.364534926606181,1.0,3.0,6.0,9.0,12.0,3.46546921293418,13557.0,15.518846352437855,1.0,8.0,15.0,23.0,31.0,8.891905348608011
CIPP,NO2,18658.0,7.046028513238289,1.9,2.0,3.4,5.7,190.0,13.504575881676095,18658,2018-05-10 19:14:06.457284096,2016-08-25 14:00:00,2017-04-19 11:15:00,2018-02-27 15:30:00,2019-06-15 21:45:00,2020-01-06 11:00:00,,18658.0,2017.9035266373673,2016.0,2017.0,2018.0,2019.0,2020.0,1.1106048359511393,18658.0,5.953478400686032,1.0,3.0,6.0,9.0,12.0,3.4409514413406868,18658.0,15.656072462214599,1.0,8.0,16.0,23.0,31.0,8.799366340377937
CIPP,O3,18623.0,30.655968426139726,2.0,21.0,31.0,41.0,308.0,18.7018574859401,18623,2018-05-10 12:22:33.358749952,2016-08-25 14:00:00,2017-04-19 08:30:00,2018-02-27 04:00:00,2019-06-16 04:30:00,2020-01-06 11:00:00,,18623.0,2017.9020565966816,2016.0,2017.0,2018.0,2019.0,2020.0,1.1107540834462648,18623.0,5.961391827310315,1.0,3.0,6.0,9.0,12.0,3.438391291770245,18623.0,15.667132041024539,1.0,8.0,16.0,23.0,31.0,8.802269357661348
CIPP,SO2,18497.0,7.983970373574095,2.6,4.1,7.7,10.0,448.0,8.396010729685715,18497,2018-05-07 08:54:36.531329536,2016-08-25 14:00:00,2017-04-17 15:00:00,2018-02-24 12:00:00,2019-06-14 02:00:00,2020-01-06 11:00:00,,18497.0,2017.894469373412,2016.0,2017.0,2018.0,2019.0,2020.0,1.1108053998312828,18497.0,5.949289073903876,1.0,3.0,6.0,9.0,12.0,3.4543052812022683,18497.0,15.656268584094718,1.0,8.0,16.0,23.0,31.0,8.820074555419177
UM Alto Alegre - Móvel,CO,555.0,736.3135135135135,401.0,572.0,698.0,859.0,1511.0,211.40918563327355,555,2019-09-25 10:45:56.756756992,2019-09-13 15:00:00,2019-09-19 09:30:00,2019-09-25 04:00:00,2019-10-01 13:30:00,2019-10-07 09:00:00,,555.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,0.0,555.0,9.275675675675675,9.0,9.0,9.0,10.0,10.0,0.44725722822317016,555.0,16.7027027027027,1.0,6.0,18.0,24.0,30.0,9.137926870119772
UM Alto Alegre - Móvel,MP10,557.0,74.49730700179533,4.0,30.0,67.0,109.0,408.0,49.86909565420062,557,2019-09-25 11:14:13.141831168,2019-09-13 15:00:00,2019-09-19 10:00:00,2019-09-25 05:00:00,2019-10-01 14:00:00,2019-10-07 09:00:00,,557.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,0.0,557.0,9.276481149012568,9.0,9.0,9.0,10.0,10.0,0.44765958741967016,557.0,16.696588868940754,1.0,6.0,18.0,24.0,30.0,9.15039444827842
UM Alto Alegre - Móvel,MP2.5,556.0,28.43705035971223,3.0,13.0,23.0,38.0,299.0,22.989648934483377,556,2019-09-25 11:44:53.525180160,2019-09-13 16:00:00,2019-09-19 10:45:00,2019-09-25 05:30:00,2019-10-01 14:15:00,2019-10-07 09:00:00,,556.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,0.0,556.0,9.276978417266188,9.0,9.0,9.0,10.0,10.0,0.44790870156623624,556.0,16.703237410071942,1.0,6.0,18.0,24.0,30.0,9.157287667656815
UM Alto Alegre - Móvel,NO2,557.0,12.478635547576303,1.9,8.1,11.0,15.0,38.0,6.202598052054704,557,2019-09-25 11:14:13.141831168,2019-09-13 15:00:00,2019-09-19 10:00:00,2019-09-25 05:00:00,2019-10-01 14:00:00,2019-10-07 09:00:00,,557.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,0.0,557.0,9.276481149012568,9.0,9.0,9.0,10.0,10.0,0.4476595874196702,557.0,16.696588868940754,1.0,6.0,18.0,24.0,30.0,9.15039444827842
UM Alto Alegre - Móvel,O3,557.0,40.37342908438061,18.0,33.0,39.0,47.0,71.0,10.19489281352308,557,2019-09-25 11:14:13.141831168,2019-09-13 15:00:00,2019-09-19 10:00:00,2019-09-25 05:00:00,2019-10-01 14:00:00,2019-10-07 09:00:00,,557.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,0.0,557.0,9.276481149012568,9.0,9.0,9.0,10.0,10.0,0.4476595874196702,557.0,16.696588868940754,1.0,6.0,18.0,24.0,30.0,9.15039444827842
UM Alto Alegre - Móvel,SO2,555.0,5.386486486486486,2.6,4.0,5.1,6.3,12.0,1.9475100499542104,555,2019-09-25 11:54:35.675675648,2019-09-13 15:00:00,2019-09-19 11:30:00,2019-09-25 06:00:00,2019-10-01 14:30:00,2019-10-07 09:00:00,,555.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,0.0,555.0,9.277477477477477,9.0,9.0,9.0,10.0,10.0,0.44815802007095024,555.0,16.695495495495496,1.0,6.0,18.0,24.0,30.0,9.166878333062712
UM Parada - Pecém - Móvel,CO,671.0,630.9210134128167,0.0,492.0,576.0,684.0,2820.0,277.6118271753352,671,2019-08-25 03:55:53.204172800,2019-07-25 07:00:00,2019-08-19 08:30:00,2019-08-26 08:00:00,2019-09-02 10:30:00,2019-09-13 14:00:00,,671.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,0.0,671.0,8.230998509687034,7.0,8.0,8.0,9.0,9.0,0.5667335458026763,671.0,17.52160953800298,1.0,8.0,19.0,26.0,31.0,9.373305750326452
UM Parada - Pecém - Móvel,MP10,660.0,36.986363636363635,3.0,24.0,33.0,43.0,427.0,27.96873599450084,660,2019-08-24 23:53:54.545454848,2019-07-25 07:00:00,2019-08-19 05:45:00,2019-08-26 04:30:00,2019-09-02 05:15:00,2019-09-13 14:00:00,,660.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,0.0,660.0,8.22121212121212,7.0,8.0,8.0,9.0,9.0,0.566788239023484,660.0,17.657575757575756,1.0,8.0,20.0,26.0,31.0,9.358855820986632
UM Parada - Pecém - Móvel,MP2.5,608.0,11.65625,3.0,7.0,10.0,14.0,58.0,6.554442668794754,608,2019-08-27 09:58:13.421052672,2019-08-14 11:00:00,2019-08-20 21:45:00,2019-08-27 07:30:00,2019-09-02 18:15:00,2019-09-13 14:00:00,,608.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,0.0,608.0,8.320723684210526,8.0,8.0,8.0,9.0,9.0,0.467139074887307,608.0,16.991776315789473,1.0,7.0,18.5,25.0,31.0,9.432929709380167
