Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo
2018-01-01,00:00:00,VR - Centro,RJ66,MP10,25.79,ug/m3,manual
2018-01-07,00:00:00,VR - Centro,RJ66,MP10,13.7,ug/m3,manual
2018-01-13,00:00:00,VR - Centro,RJ66,MP10,26.66,ug/m3,manual
2018-01-19,00:00:00,VR - Centro,RJ66,MP10,21.23,ug/m3,manual
2018-01-25,00:00:00,VR - Centro,RJ66,MP10,26.45,ug/m3,manual
2018-01-31,00:00:00,VR - Centro,RJ66,MP10,15.8,ug/m3,manual
2018-02-06,00:00:00,VR - Centro,RJ66,MP10,13.71,ug/m3,manual
2018-02-12,00:00:00,VR - Centro,RJ66,MP10,20.98,ug/m3,manual
2018-02-18,00:00:00,VR - Centro,RJ66,MP10,14.93,ug/m3,manual
2018-02-24,00:00:00,VR - Centro,RJ66,MP10,11.79,ug/m3,manual
2018-03-02,00:00:00,VR - Centro,RJ66,MP10,39.68,ug/m3,manual
2018-03-08,00:00:00,VR - Centro,RJ66,MP10,11.28,ug/m3,manual
2018-03-14,00:00:00,VR - Centro,RJ66,MP10,28.3,ug/m3,manual
2018-03-20,00:00:00,VR - Centro,RJ66,MP10,33.71,ug/m3,manual
2018-03-26,00:00:00,VR - Centro,RJ66,MP10,22.28,ug/m3,manual
2018-04-01,00:00:00,VR - Centro,RJ66,MP10,23.93,ug/m3,manual
2018-04-07,00:00:00,VR - Centro,RJ66,MP10,12.05,ug/m3,manual
2018-04-13,00:00:00,VR - Centro,RJ66,MP10,25.71,ug/m3,manual
2018-04-19,00:00:00,VR - Centro,RJ66,MP10,19.25,ug/m3,manual
2018-04-25,00:00:00,VR - Centro,RJ66,MP10,26.45,ug/m3,manual
2018-05-01,00:00:00,VR - Centro,RJ66,MP10,31.69,ug/m3,manual
2018-05-07,00:00:00,VR - Centro,RJ66,MP10,34.87,ug/m3,manual
2018-05-13,00:00:00,VR - Centro,RJ66,MP10,12.21,ug/m3,manual
2018-05-19,00:00:00,VR - Centro,RJ66,MP10,54.16,ug/m3,manual
2018-05-25,00:00:00,VR - Centro,RJ66,MP10,11.39,ug/m3,manual
2018-05-31,00:00:00,VR - Centro,RJ66,MP10,25.61,ug/m3,manual
2018-06-06,00:00:00,VR - Centro,RJ66,MP10,36.27,ug/m3,manual
2018-06-12,00:00:00,VR - Centro,RJ66,MP10,65.53,ug/m3,manual
2018-06-18,00:00:00,VR - Centro,RJ66,MP10,17.75,ug/m3,manual
2018-06-24,00:00:00,VR - Centro,RJ66,MP10,21.12,ug/m3,manual
2018-06-30,00:00:00,VR - Centro,RJ66,MP10,40.15,ug/m3,manual
2018-07-06,00:00:00,VR - Centro,RJ66,MP10,50.76,ug/m3,manual
2018-07-12,00:00:00,VR - Centro,RJ66,MP10,23.04,ug/m3,manual
2018-07-18,00:00:00,VR - Centro,RJ66,MP10,14.68,ug/m3,manual
2018-07-24,00:00:00,VR - Centro,RJ66,MP10,49.41,ug/m3,manual
2018-07-30,00:00:00,VR - Centro,RJ66,MP10,32.85,ug/m3,manual
2018-08-05,00:00:00,VR - Centro,RJ66,MP10,21.51,ug/m3,manual
2018-08-11,00:00:00,VR - Centro,RJ66,MP10,27.01,ug/m3,manual
2018-08-17,00:00:00,VR - Centro,RJ66,MP10,19.61,ug/m3,manual
